MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
D4:F5:47:82:0E:C6,ALL,ip,142.250.176.195,1798,281888,1065,179737,733,102151
D4:F5:47:82:0E:C6,ALL,ip,142.250.176.202,532,223878,265,133392,267,90486
D4:F5:47:82:0E:C6,ALL,ip,142.250.176.206,436,177057,238,89484,198,87573
D4:F5:47:82:0E:C6,ALL,ip,142.250.31.188,4437,318599,2215,149536,2222,169063
D4:F5:47:82:0E:C6,ALL,ip,142.250.64.106,166,58132,86,22923,80,35209
D4:F5:47:82:0E:C6,ALL,ip,142.250.64.74,293,101903,143,59750,150,42153
D4:F5:47:82:0E:C6,ALL,ip,142.250.64.78,1370,1370752,476,169771,894,1200981
D4:F5:47:82:0E:C6,ALL,ip,142.250.65.170,523,180576,270,110531,253,70045
D4:F5:47:82:0E:C6,ALL,ip,142.250.65.202,342,141321,178,77306,164,64015
D4:F5:47:82:0E:C6,ALL,ip,142.250.65.234,319,114861,175,58699,144,56162
D4:F5:47:82:0E:C6,ALL,ip,142.250.72.106,265,90363,136,33710,129,56653
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.10,17,7022,10,1384,7,5638
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.106,288,103147,157,47181,131,55966
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.110,890,733739,309,110673,581,623066
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.42,197,69674,108,34523,89,35151
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.74,201,67134,105,23652,96,43482
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.78,43,13278,21,2560,22,10718
D4:F5:47:82:0E:C6,ALL,ip,142.250.80.99,1016,154193,602,101880,414,52313
D4:F5:47:82:0E:C6,ALL,ip,142.250.81.234,106,33044,53,10374,53,22670
D4:F5:47:82:0E:C6,ALL,ip,142.251.16.188,3939,272844,1969,133168,1970,139676
D4:F5:47:82:0E:C6,ALL,ip,142.251.163.188,4912,350612,2454,165260,2458,185352
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.102,58,26586,29,9358,29,17228
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.188,7857,565038,3923,265818,3934,299220
D4:F5:47:82:0E:C6,ALL,ip,142.251.179.188,280,26643,140,10090,140,16553
D4:F5:47:82:0E:C6,ALL,ip,142.251.32.106,398,157271,202,71694,196,85577
D4:F5:47:82:0E:C6,ALL,ip,142.251.32.110,14927,12065868,5663,2070934,9264,9994934
D4:F5:47:82:0E:C6,ALL,ip,142.251.32.99,28893,4432766,17158,2912698,11735,1520068
D4:F5:47:82:0E:C6,ALL,ip,142.251.35.170,212,74808,114,32698,98,42110
D4:F5:47:82:0E:C6,ALL,ip,142.251.35.174,30,11594,15,2456,15,9138
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.106,228,82740,125,39837,103,42903
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.131,644,96730,371,63164,273,33566
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.138,305,102131,155,50559,150,51572
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.170,228,76023,119,33015,109,43008
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.174,30,12094,15,2456,15,9638
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.202,261,107388,127,30164,134,77224
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.227,3295,506960,1957,332314,1338,174646
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.234,159,59406,84,24735,75,34671
D4:F5:47:82:0E:C6,ALL,ip,142.251.40.238,80,18235,40,4975,40,13260
D4:F5:47:82:0E:C6,ALL,ip,142.251.41.10,282,102733,148,46568,134,56165
D4:F5:47:82:0E:C6,ALL,ip,142.251.41.14,92,34955,47,7671,45,27284
D4:F5:47:82:0E:C6,ALL,ip,142.251.41.3,138,44375,68,8552,70,35823
D4:F5:47:82:0E:C6,ALL,ip,172.217.165.138,155,50908,81,21516,74,29392
D4:F5:47:82:0E:C6,ALL,ip,172.217.165.142,4916,3097035,2295,945637,2621,2151398
D4:F5:47:82:0E:C6,ALL,ip,172.253.115.188,2015,143468,1007,68480,1008,74988
D4:F5:47:82:0E:C6,ALL,ip,172.253.122.101,54,26313,27,9208,27,17105
D4:F5:47:82:0E:C6,ALL,ip,172.253.122.188,174,19685,86,6562,88,13123
D4:F5:47:82:0E:C6,ALL,ip,172.253.63.188,7533,505687,3767,252236,3766,253451
D4:F5:47:82:0E:C6,ALL,ip,172.253.63.94,314,47855,186,31633,128,16222
D4:F5:47:82:0E:C6,ALL,ip,216.239.32.223,3,210,2,156,1,54
D4:F5:47:82:0E:C6,ALL,ip,216.239.34.223,118,32699,54,10787,64,21912
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.0,207,18630,104,9360,103,9270
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.12,276,24840,139,12510,137,12330
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.4,244,21960,122,10980,122,10980
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.8,233,20970,118,10620,115,10350
D4:F5:47:82:0E:C6,ALL,ip,216.239.36.223,73,27751,38,14158,35,13593
D4:F5:47:82:0E:C6,ALL,ip,216.239.38.223,149,52568,75,24901,74,27667
D4:F5:47:82:0E:C6,ALL,ip,34.104.35.123,42117,116520206,4616,306220,37501,116213986
D4:F5:47:82:0E:C6,ALL,ip,64.233.180.188,7453,545965,3720,252984,3733,292981
D4:F5:47:82:0E:C6,ALL,ip,8.8.8.8,31090,2789810,15546,1162043,15544,1627767
D4:F5:47:82:0E:C6,ALL,tcp,142.250.176.195,1798,281888,1065,179737,733,102151
D4:F5:47:82:0E:C6,ALL,tcp,142.250.176.202,532,223878,265,133392,267,90486
D4:F5:47:82:0E:C6,ALL,tcp,142.250.176.206,260,80940,135,19511,125,61429
D4:F5:47:82:0E:C6,ALL,tcp,142.250.31.188,4437,318599,2215,149536,2222,169063
D4:F5:47:82:0E:C6,ALL,tcp,142.250.64.106,166,58132,86,22923,80,35209
D4:F5:47:82:0E:C6,ALL,tcp,142.250.64.74,293,101903,143,59750,150,42153
D4:F5:47:82:0E:C6,ALL,tcp,142.250.64.78,520,611592,185,28246,335,583346
D4:F5:47:82:0E:C6,ALL,tcp,142.250.65.170,523,180576,270,110531,253,70045
D4:F5:47:82:0E:C6,ALL,tcp,142.250.65.202,342,141321,178,77306,164,64015
D4:F5:47:82:0E:C6,ALL,tcp,142.250.65.234,319,114861,175,58699,144,56162
D4:F5:47:82:0E:C6,ALL,tcp,142.250.72.106,265,90363,136,33710,129,56653
D4:F5:47:82:0E:C6,ALL,tcp,142.250.80.10,17,7022,10,1384,7,5638
D4:F5:47:82:0E:C6,ALL,tcp,142.250.80.106,288,103147,157,47181,131,55966
D4:F5:47:82:0E:C6,ALL,tcp,142.250.80.110,155,36210,79,9804,76,26406
D4:F5:47:82:0E:C6,ALL,tcp,142.250.80.42,197,69674,108,34523,89,35151
