MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
90:31:4B:71:8E:B6,ALL,ip,150.136.255.34,36,13662,18,2484,18,11178
90:31:4B:71:8E:B6,ALL,ip,16.15.192.81,45,19073,26,11221,19,7852
90:31:4B:71:8E:B6,ALL,ip,16.15.216.184,43,17665,25,9867,18,7798
90:31:4B:71:8E:B6,ALL,ip,16.182.100.120,42,17066,25,9566,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.101.240,43,18192,26,10692,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.102.56,42,17428,25,9928,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.104.88,47,17386,25,9616,22,7770
90:31:4B:71:8E:B6,ALL,ip,16.182.106.0,41,16914,25,9468,16,7446
90:31:4B:71:8E:B6,ALL,ip,16.182.106.152,40,16908,25,9516,15,7392
90:31:4B:71:8E:B6,ALL,ip,16.182.32.152,42,17077,25,9577,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.34.112,42,17098,25,9598,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.38.216,42,17101,25,9601,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.39.160,42,17061,25,9561,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.43.24,40,16806,25,9414,15,7392
90:31:4B:71:8E:B6,ALL,ip,16.182.43.56,41,16964,25,9518,16,7446
90:31:4B:71:8E:B6,ALL,ip,16.182.66.176,43,17840,25,10286,18,7554
90:31:4B:71:8E:B6,ALL,ip,16.182.72.144,43,16970,25,9416,18,7554
90:31:4B:71:8E:B6,ALL,ip,16.182.96.56,42,17256,25,9756,17,7500
90:31:4B:71:8E:B6,ALL,ip,16.182.97.240,41,16979,24,9479,17,7500
90:31:4B:71:8E:B6,ALL,ip,208.67.220.220,400,47250,200,15631,200,31619
90:31:4B:71:8E:B6,ALL,ip,3.218.218.223,28,9074,16,1760,12,7314
90:31:4B:71:8E:B6,ALL,ip,3.226.69.144,112,36344,64,7040,48,29304
90:31:4B:71:8E:B6,ALL,ip,3.5.0.72,88,35649,51,19987,37,15662
90:31:4B:71:8E:B6,ALL,ip,3.5.0.83,44,18048,25,10196,19,7852
90:31:4B:71:8E:B6,ALL,ip,3.5.12.137,43,17743,25,9945,18,7798
90:31:4B:71:8E:B6,ALL,ip,3.5.12.213,41,18313,25,10647,16,7666
90:31:4B:71:8E:B6,ALL,ip,3.5.14.151,43,17942,25,10144,18,7798
90:31:4B:71:8E:B6,ALL,ip,3.5.20.82,42,17753,25,10021,17,7732
90:31:4B:71:8E:B6,ALL,ip,3.5.21.36,44,17755,25,9903,19,7852
90:31:4B:71:8E:B6,ALL,ip,3.5.22.209,44,17682,26,9896,18,7786
90:31:4B:71:8E:B6,ALL,ip,3.5.31.134,44,18603,25,10751,19,7852
90:31:4B:71:8E:B6,ALL,ip,3.5.31.163,42,17715,25,9995,17,7720
90:31:4B:71:8E:B6,ALL,ip,3.89.18.93,265,84504,154,17129,111,67375
90:31:4B:71:8E:B6,ALL,ip,34.193.188.156,84,27258,48,5280,36,21978
90:31:4B:71:8E:B6,ALL,ip,34.194.40.211,307,18422,164,9155,143,9267
90:31:4B:71:8E:B6,ALL,ip,34.231.55.101,119,39804,70,8015,49,31789
90:31:4B:71:8E:B6,ALL,ip,34.232.206.48,520,171510,299,33061,221,138449
90:31:4B:71:8E:B6,ALL,ip,34.232.247.198,53,17974,32,3520,21,14454
90:31:4B:71:8E:B6,ALL,ip,44.199.55.95,343,106024,197,22064,146,83960
90:31:4B:71:8E:B6,ALL,ip,50.17.211.227,335,111578,197,22516,138,89062
90:31:4B:71:8E:B6,ALL,ip,52.20.116.208,463,139330,267,29994,196,109336
90:31:4B:71:8E:B6,ALL,ip,52.200.232.52,310,18577,167,9315,143,9262
90:31:4B:71:8E:B6,ALL,ip,52.201.138.67,312,103686,182,20863,130,82823
90:31:4B:71:8E:B6,ALL,ip,52.21.69.56,1,66,1,66,0,0
90:31:4B:71:8E:B6,ALL,ip,52.216.109.37,42,16952,25,9452,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.136.214,41,16867,25,9421,16,7446
90:31:4B:71:8E:B6,ALL,ip,52.216.137.238,43,17333,25,9779,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.170.173,43,17935,25,10381,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.177.245,42,17096,25,9596,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.187.93,43,17317,26,9817,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.209.64,42,17022,25,9522,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.212.248,41,17115,25,9669,16,7446
90:31:4B:71:8E:B6,ALL,ip,52.216.216.160,44,17750,26,10196,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.218.40,40,16867,25,9475,15,7392
90:31:4B:71:8E:B6,ALL,ip,52.216.222.152,41,17031,24,9531,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.241.14,42,16982,25,9482,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.249.126,43,17068,25,9514,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.250.206,43,17328,25,9774,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.26.222,42,17337,25,9837,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.34.208,43,17971,25,10417,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.36.88,43,18069,26,10569,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.40.144,83,33942,50,18996,33,14946
90:31:4B:71:8E:B6,ALL,ip,52.216.43.240,43,18179,26,10679,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.44.152,44,17521,26,9967,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.44.184,43,17490,25,9936,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.50.48,43,17336,25,9782,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.50.80,40,17119,25,9727,15,7392
90:31:4B:71:8E:B6,ALL,ip,52.216.51.168,1,54,1,54,0,0
90:31:4B:71:8E:B6,ALL,ip,52.216.54.16,44,18214,26,10660,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.216.77.230,42,17202,25,9702,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.216.9.13,42,16883,25,9383,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.10.198,42,17533,25,10033,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.112.160,42,17862,25,10362,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.112.40,45,18321,26,10713,19,7608
90:31:4B:71:8E:B6,ALL,ip,52.217.112.56,43,17176,25,9622,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.114.16,42,17237,25,9737,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.115.80,43,17230,26,9730,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.120.160,42,17922,24,10368,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.121.104,45,17381,25,9719,20,7662
90:31:4B:71:8E:B6,ALL,ip,52.217.122.152,42,17362,25,9862,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.125.104,44,18028,26,10474,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.129.168,43,17000,25,9446,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.134.232,41,17281,25,9835,16,7446
90:31:4B:71:8E:B6,ALL,ip,52.217.134.24,42,17573,25,10073,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.135.80,41,16935,25,9489,16,7446
90:31:4B:71:8E:B6,ALL,ip,52.217.136.160,40,17148,25,9756,15,7392
90:31:4B:71:8E:B6,ALL,ip,52.217.14.190,43,17454,25,9900,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.140.144,45,19580,27,12026,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.142.136,43,18126,26,10626,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.160.168,41,16939,25,9493,16,7446
90:31:4B:71:8E:B6,ALL,ip,52.217.165.160,44,18257,26,10703,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.172.232,43,17838,25,10284,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.173.240,43,17979,26,10479,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.174.72,42,17053,25,9553,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.175.120,43,16896,25,9342,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.175.32,41,17034,25,9588,16,7446
90:31:4B:71:8E:B6,ALL,ip,52.217.193.72,42,17145,25,9645,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.198.229,42,17113,25,9613,17,7500
90:31:4B:71:8E:B6,ALL,ip,52.217.201.80,45,20431,27,12877,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.202.80,43,16972,25,9418,18,7554
90:31:4B:71:8E:B6,ALL,ip,52.217.203.80,41,17019,25,9573,16,7446
