MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
A4:77:33:DF:C2:4D,ALL,ipv6,fdc4:22e1:d5d:0:d5df:30a:d02d:b5dd,1,107,0,0,1,107
A4:77:33:DF:C2:4D,ALL,ipv6,ff02::c:c,2,214,2,214,0,0
A4:77:33:DF:C2:4D,ALL,ipv6,ff02::fb,35778,8570164,35778,8570164,0,0
A4:77:33:DF:C2:4D,ALL,ipv6,ff05::c0c,1,107,1,107,0,0
A4:77:33:DF:C2:4D,ALL,udp,fdc4:22e1:d5d:0:d5df:30a:d02d:b5dd,1,107,0,0,1,107
A4:77:33:DF:C2:4D,ALL,udp,ff02::c:c,2,214,2,214,0,0
A4:77:33:DF:C2:4D,ALL,udp,ff02::fb,35778,8570164,35778,8570164,0,0
A4:77:33:DF:C2:4D,ALL,udp,ff05::c0c,1,107,1,107,0,0
A4:77:33:DF:C2:4D,ALL,mdns,ff02::fb,35778,8570164,35778,8570164,0,0
A4:77:33:DF:C2:4D,ALL,udp:10101,fdc4:22e1:d5d:0:d5df:30a:d02d:b5dd,1,107,0,0,1,107
A4:77:33:DF:C2:4D,ALL,udp:10101,ff02::c:c,2,214,2,214,0,0
A4:77:33:DF:C2:4D,ALL,udp:10101,ff05::c0c,1,107,1,107,0,0
