MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
64:FF:0A:88:AF:4A,ALL,ip,104.84.81.161,14,5729,9,718,5,5011
64:FF:0A:88:AF:4A,ALL,ip,13.224.68.118,98,25432,46,10531,52,14901
64:FF:0A:88:AF:4A,ALL,ip,13.224.68.66,23,8610,12,1458,11,7152
64:FF:0A:88:AF:4A,ALL,ip,13.32.145.105,10,1394,5,626,5,768
64:FF:0A:88:AF:4A,ALL,ip,13.32.145.21,10,1394,5,626,5,768
64:FF:0A:88:AF:4A,ALL,ip,13.32.145.49,25,8743,13,1524,12,7219
64:FF:0A:88:AF:4A,ALL,ip,13.32.145.58,24,8700,13,1524,11,7176
64:FF:0A:88:AF:4A,ALL,ip,142.250.178.138,2611,1116931,1341,336990,1270,779941
64:FF:0A:88:AF:4A,ALL,ip,142.250.178.142,53,24423,28,4394,25,20029
64:FF:0A:88:AF:4A,ALL,ip,142.250.179.106,2057,919598,1043,266562,1014,653036
64:FF:0A:88:AF:4A,ALL,ip,142.250.179.110,1134,713479,611,427197,523,286282
64:FF:0A:88:AF:4A,ALL,ip,142.250.179.74,2056,854169,1039,343927,1017,510242
64:FF:0A:88:AF:4A,ALL,ip,142.250.179.78,53,24348,28,4394,25,19954
64:FF:0A:88:AF:4A,ALL,ip,142.250.201.170,2376,1217431,1239,352235,1137,865196
64:FF:0A:88:AF:4A,ALL,ip,142.250.201.174,8957,7706081,5339,1285136,3618,6420945
64:FF:0A:88:AF:4A,ALL,ip,142.250.74.234,1002,311474,520,126179,482,185295
64:FF:0A:88:AF:4A,ALL,ip,142.250.74.238,25,10896,14,1729,11,9167
64:FF:0A:88:AF:4A,ALL,ip,142.250.75.227,5234,1152217,3423,772434,1811,379783
64:FF:0A:88:AF:4A,ALL,ip,142.250.75.234,1823,734960,930,279477,893,455483
64:FF:0A:88:AF:4A,ALL,ip,142.250.75.238,24,10818,14,1717,10,9101
64:FF:0A:88:AF:4A,ALL,ip,142.251.168.188,21424,1965863,8540,834233,12884,1131630
64:FF:0A:88:AF:4A,ALL,ip,172.217.18.202,1159,420114,588,156197,571,263917
64:FF:0A:88:AF:4A,ALL,ip,172.217.20.170,1455,517407,724,203159,731,314248
64:FF:0A:88:AF:4A,ALL,ip,172.217.20.202,2389,821813,1192,342667,1197,479146
64:FF:0A:88:AF:4A,ALL,ip,173.194.76.188,597,115532,297,24305,300,91227
64:FF:0A:88:AF:4A,ALL,ip,176.34.214.23,224,139304,130,63472,94,75832
64:FF:0A:88:AF:4A,ALL,ip,18.196.27.158,28,13146,17,2482,11,10664
64:FF:0A:88:AF:4A,ALL,ip,18.239.69.3,22,8664,12,1417,10,7247
64:FF:0A:88:AF:4A,ALL,ip,18.239.69.44,89,25206,45,10465,44,14741
64:FF:0A:88:AF:4A,ALL,ip,18.66.171.30,23,8730,13,1483,10,7247
64:FF:0A:88:AF:4A,ALL,ip,216.239.35.0,2,180,1,90,1,90
64:FF:0A:88:AF:4A,ALL,ip,216.239.35.4,2,180,1,90,1,90
64:FF:0A:88:AF:4A,ALL,ip,216.239.36.55,1155,341869,639,97850,516,244019
64:FF:0A:88:AF:4A,ALL,ip,216.239.36.57,829,244019,456,69808,373,174211
64:FF:0A:88:AF:4A,ALL,ip,216.239.38.55,1285,380734,706,108508,579,272226
64:FF:0A:88:AF:4A,ALL,ip,216.239.38.57,1416,419932,782,119944,634,299988
