MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
FC:49:2D:34:98:28,ALL,ip,192.168.231.109,11485,4216177,3546,222807,7939,3993370
FC:49:2D:34:98:28,ALL,ip,192.168.231.171,1545335,123187152,756698,50429076,788637,72758076
FC:49:2D:34:98:28,ALL,ip,192.168.231.176,2874,1063668,692,56828,2182,1006840
FC:49:2D:34:98:28,ALL,ip,192.168.231.200,14951,6453986,4671,287605,10280,6166381
FC:49:2D:34:98:28,ALL,ip,192.168.231.237,37639,7763094,17992,1504198,19647,6258896
FC:49:2D:34:98:28,ALL,ip,224.0.0.251,962,115864,962,115864,0,0
FC:49:2D:34:98:28,ALL,ip,239.255.255.250,417,57819,417,57819,0,0
FC:49:2D:34:98:28,ALL,ip,255.255.255.255,5820,414207,5820,414207,0,0
FC:49:2D:34:98:28,ALL,tcp,192.168.231.109,5912,705187,3546,222807,2366,482380
FC:49:2D:34:98:28,ALL,tcp,192.168.231.171,233177,52331044,100566,17622476,132611,34708568
FC:49:2D:34:98:28,ALL,tcp,192.168.231.176,1290,430992,692,56828,598,374164
FC:49:2D:34:98:28,ALL,tcp,192.168.231.200,10069,1264420,4671,287605,5398,976815
FC:49:2D:34:98:28,ALL,tcp,192.168.231.237,35983,7200054,17992,1504198,17991,5695856
FC:49:2D:34:98:28,ALL,udp,192.168.231.109,5573,3510990,0,0,5573,3510990
FC:49:2D:34:98:28,ALL,udp,192.168.231.171,1312158,70856108,656132,32806600,656026,38049508
FC:49:2D:34:98:28,ALL,udp,192.168.231.176,1584,632676,0,0,1584,632676
FC:49:2D:34:98:28,ALL,udp,192.168.231.200,4882,5189566,0,0,4882,5189566
FC:49:2D:34:98:28,ALL,udp,192.168.231.237,1656,563040,0,0,1656,563040
FC:49:2D:34:98:28,ALL,udp,224.0.0.251,962,115864,962,115864,0,0
FC:49:2D:34:98:28,ALL,udp,239.255.255.250,417,57819,417,57819,0,0
FC:49:2D:34:98:28,ALL,udp,255.255.255.255,5820,414207,5820,414207,0,0
FC:49:2D:34:98:28,ALL,tls,192.168.231.171,133929,45728696,71819,15678737,62110,30049959
FC:49:2D:34:98:28,ALL,tplink-smarthome,192.168.231.109,6755,3944193,591,51417,6164,3892776
FC:49:2D:34:98:28,ALL,tplink-smarthome,192.168.231.200,6215,5284225,667,58029,5548,5226196
FC:49:2D:34:98:28,ALL,tplink-smarthome,255.255.255.255,5679,403209,5679,403209,0,0
FC:49:2D:34:98:28,ALL,mdns,224.0.0.251,962,115864,962,115864,0,0
FC:49:2D:34:98:28,ALL,ssdp,192.168.231.237,1656,563040,0,0,1656,563040
FC:49:2D:34:98:28,ALL,ssdp,239.255.255.250,276,38502,276,38502,0,0
FC:49:2D:34:98:28,ALL,tcp:55443,192.168.231.171,233177,52331044,100566,17622476,132611,34708568
FC:49:2D:34:98:28,ALL,http,192.168.231.237,35983,7200054,17992,1504198,17991,5695856
FC:49:2D:34:98:28,ALL,udp:1982,239.255.255.250,141,19317,141,19317,0,0
FC:49:2D:34:98:28,ALL,udp:56700,255.255.255.255,141,10998,141,10998,0,0
FC:49:2D:34:98:28,ALL,udp:55444,192.168.231.171,1312158,70856108,656132,32806600,656026,38049508
FC:49:2D:34:98:28,ALL,udp:50000,192.168.231.176,1584,632676,0,0,1584,632676
FC:49:2D:34:98:28,ALL,udp:50000,192.168.231.237,1656,563040,0,0,1656,563040
FC:49:2D:34:98:28,ALL,udp:50000,239.255.255.250,276,38502,276,38502,0,0
