MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
FC:49:2D:34:98:28,ALL,ip,107.21.191.216,154,84228,94,67996,60,16232
FC:49:2D:34:98:28,ALL,ip,107.22.24.161,252,127953,151,102879,101,25074
FC:49:2D:34:98:28,ALL,ip,13.208.135.254,60,8170,30,4685,30,3485
FC:49:2D:34:98:28,ALL,ip,13.208.69.44,108,14706,54,8433,54,6273
FC:49:2D:34:98:28,ALL,ip,13.210.177.118,110,14838,56,8565,54,6273
FC:49:2D:34:98:28,ALL,ip,13.211.192.98,61,8236,31,4751,30,3485
FC:49:2D:34:98:28,ALL,ip,13.232.140.123,48,6536,24,3748,24,2788
FC:49:2D:34:98:28,ALL,ip,13.245.126.151,73,9870,37,5688,36,4182
FC:49:2D:34:98:28,ALL,ip,13.246.125.252,73,9870,37,5688,36,4182
FC:49:2D:34:98:28,ALL,ip,13.246.213.185,72,9804,36,5622,36,4182
FC:49:2D:34:98:28,ALL,ip,13.248.128.156,62,8326,32,4841,30,3485
FC:49:2D:34:98:28,ALL,ip,13.248.184.61,24,3268,12,1874,12,1394
FC:49:2D:34:98:28,ALL,ip,13.248.200.177,36,4902,18,2811,18,2091
FC:49:2D:34:98:28,ALL,ip,13.248.243.206,60,8170,30,4685,30,3485
FC:49:2D:34:98:28,ALL,ip,13.249.9.11,144,21672,72,11244,72,10428
FC:49:2D:34:98:28,ALL,ip,13.249.9.116,23,8696,12,1823,11,6873
FC:49:2D:34:98:28,ALL,ip,13.249.9.125,169,25350,85,13184,84,12166
FC:49:2D:34:98:28,ALL,ip,13.249.9.27,134,19986,67,10373,67,9613
FC:49:2D:34:98:28,ALL,ip,13.249.9.70,45,17348,24,3668,21,13680
FC:49:2D:34:98:28,ALL,ip,13.249.9.9,122,18204,62,9514,60,8690
FC:49:2D:34:98:28,ALL,ip,13.251.25.239,132,17974,66,10307,66,7667
FC:49:2D:34:98:28,ALL,ip,13.32.145.113,253,37980,126,19677,127,18303
FC:49:2D:34:98:28,ALL,ip,13.32.145.118,96,14448,48,7496,48,6952
FC:49:2D:34:98:28,ALL,ip,13.32.145.27,60,9030,30,4685,30,4345
FC:49:2D:34:98:28,ALL,ip,13.32.145.56,145,21750,73,11322,72,10428
FC:49:2D:34:98:28,ALL,ip,13.39.187.90,60,8170,30,4685,30,3485
FC:49:2D:34:98:28,ALL,ip,13.48.52.157,132,17974,66,10307,66,7667
FC:49:2D:34:98:28,ALL,ip,13.50.170.219,85,11504,43,6625,42,4879
FC:49:2D:34:98:28,ALL,ip,13.51.39.168,61,8236,31,4751,30,3485
FC:49:2D:34:98:28,ALL,ip,15.160.15.173,72,9804,36,5622,36,4182
FC:49:2D:34:98:28,ALL,ip,15.168.70.244,85,11504,43,6625,42,4879
FC:49:2D:34:98:28,ALL,ip,15.184.56.86,60,8170,30,4685,30,3485
FC:49:2D:34:98:28,ALL,ip,15.185.179.70,85,11504,43,6625,42,4879
FC:49:2D:34:98:28,ALL,ip,15.188.250.124,36,4902,18,2811,18,2091
FC:49:2D:34:98:28,ALL,ip,15.197.151.222,48,6536,24,3748,24,2788
FC:49:2D:34:98:28,ALL,ip,15.197.152.61,60,8170,30,4685,30,3485
FC:49:2D:34:98:28,ALL,ip,15.197.176.119,48,6536,24,3748,24,2788
FC:49:2D:34:98:28,ALL,ip,15.197.207.128,24,3268,12,1874,12,1394
FC:49:2D:34:98:28,ALL,ip,15.197.228.53,24,3268,12,1874,12,1394
FC:49:2D:34:98:28,ALL,ip,15.197.236.172,36,4902,18,2811,18,2091
FC:49:2D:34:98:28,ALL,ip,15.236.72.134,60,8170,30,4685,30,3485
FC:49:2D:34:98:28,ALL,ip,157.175.143.101,37,4968,19,2877,18,2091
FC:49:2D:34:98:28,ALL,ip,16.171.124.25,7360,607200,3680,364320,3680,242880
FC:49:2D:34:98:28,ALL,ip,16.50.211.133,84,11438,42,6559,42,4879
FC:49:2D:34:98:28,ALL,ip,16.50.219.161,49,6602,25,3814,24,2788
FC:49:2D:34:98:28,ALL,ip,16.50.84.90,86,11570,44,6691,42,4879
