MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
20:DF:B9:3B:00:90,ALL,ipv6,fdc4:22e1:d5d:0:4498:fe3a:ce22:79bd,20,2140,0,0,20,2140
20:DF:B9:3B:00:90,ALL,ipv6,fdc4:22e1:d5d:0:81b4:4e18:5759:dfa6,6,642,0,0,6,642
20:DF:B9:3B:00:90,ALL,ipv6,fdc4:22e1:d5d:0:897:fc1a:6cc2:8b4c,12,1284,0,0,12,1284
20:DF:B9:3B:00:90,ALL,ipv6,fdc4:22e1:d5d:0:e524:5ecf:33da:b223,75,8025,0,0,75,8025
20:DF:B9:3B:00:90,ALL,ipv6,fdc4:22e1:d5d:0:f024:529:4742:9517,20,2140,0,0,20,2140
20:DF:B9:3B:00:90,ALL,ipv6,ff02::c:c,139,14873,139,14873,0,0
20:DF:B9:3B:00:90,ALL,ipv6,ff02::fb,41998,10667443,41998,10667443,0,0
20:DF:B9:3B:00:90,ALL,ipv6,ff05::c0c,133,14231,133,14231,0,0
20:DF:B9:3B:00:90,ALL,udp,fdc4:22e1:d5d:0:4498:fe3a:ce22:79bd,20,2140,0,0,20,2140
20:DF:B9:3B:00:90,ALL,udp,fdc4:22e1:d5d:0:81b4:4e18:5759:dfa6,6,642,0,0,6,642
20:DF:B9:3B:00:90,ALL,udp,fdc4:22e1:d5d:0:897:fc1a:6cc2:8b4c,12,1284,0,0,12,1284
20:DF:B9:3B:00:90,ALL,udp,fdc4:22e1:d5d:0:e524:5ecf:33da:b223,75,8025,0,0,75,8025
20:DF:B9:3B:00:90,ALL,udp,fdc4:22e1:d5d:0:f024:529:4742:9517,20,2140,0,0,20,2140
20:DF:B9:3B:00:90,ALL,udp,ff02::c:c,139,14873,139,14873,0,0
20:DF:B9:3B:00:90,ALL,udp,ff02::fb,41998,10667443,41998,10667443,0,0
20:DF:B9:3B:00:90,ALL,udp,ff05::c0c,133,14231,133,14231,0,0
20:DF:B9:3B:00:90,ALL,mdns,fe80::22df:b9ff:fe3b:90*,41998,10667443,0,0,41998,10667443
20:DF:B9:3B:00:90,ALL,mdns,ff02::fb*,41998,10667443,41998,10667443,0,0
20:DF:B9:3B:00:90,ALL,udp:10101,fdc4:22e1:d5d:0:4498:fe3a:ce22:79bd,20,2140,0,0,20,2140
20:DF:B9:3B:00:90,ALL,udp:10101,fdc4:22e1:d5d:0:81b4:4e18:5759:dfa6,6,642,0,0,6,642
20:DF:B9:3B:00:90,ALL,udp:10101,fdc4:22e1:d5d:0:897:fc1a:6cc2:8b4c,12,1284,0,0,12,1284
20:DF:B9:3B:00:90,ALL,udp:10101,fdc4:22e1:d5d:0:e524:5ecf:33da:b223,75,8025,0,0,75,8025
20:DF:B9:3B:00:90,ALL,udp:10101,fdc4:22e1:d5d:0:f024:529:4742:9517,20,2140,0,0,20,2140
20:DF:B9:3B:00:90,ALL,udp:10101,ff02::c:c,139,14873,139,14873,0,0
20:DF:B9:3B:00:90,ALL,udp:10101,ff05::c0c,133,14231,133,14231,0,0
