MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
C0:84:7D:2E:9C:86,ALL,ip,1.12.218.103,84,7197,54,4574,30,2623
C0:84:7D:2E:9C:86,ALL,ip,1.12.231.205,41,3505,26,2206,15,1299
C0:84:7D:2E:9C:86,ALL,ip,1.12.251.126,41,3505,26,2206,15,1299
C0:84:7D:2E:9C:86,ALL,ip,1.12.53.79,706,59550,470,38140,236,21410
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.105,68,7986,38,3720,30,4266
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.123,75,19446,45,8276,30,11170
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.233,62,13081,38,7066,24,6015
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.65,127,14766,72,6946,55,7820
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.73,41,8504,25,4693,16,3811
C0:84:7D:2E:9C:86,ALL,ip,101.226.26.145,11,1658,6,626,5,1032
C0:84:7D:2E:9C:86,ALL,ip,101.226.26.146,10,1602,6,638,4,964
C0:84:7D:2E:9C:86,ALL,ip,101.226.26.196,11,1657,6,626,5,1031
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.234,12,1699,7,680,5,1019
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.235,24,3419,13,1306,11,2113
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.236,11,1656,6,626,5,1030
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.237,10,1591,6,626,4,965
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.239,26,3810,14,1642,12,2168
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.240,12,1699,7,680,5,1019
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.241,11,1657,6,626,5,1031
C0:84:7D:2E:9C:86,ALL,ip,101.33.212.175,43,3637,26,2206,17,1431
C0:84:7D:2E:9C:86,ALL,ip,101.33.227.204,41,3505,26,2206,15,1299
C0:84:7D:2E:9C:86,ALL,ip,101.33.239.106,754,63598,502,40732,252,22866
C0:84:7D:2E:9C:86,ALL,ip,101.33.241.86,394,33238,262,21292,132,11946
C0:84:7D:2E:9C:86,ALL,ip,101.33.244.212,235,19829,156,12706,79,7123
C0:84:7D:2E:9C:86,ALL,ip,106.52.178.223,41,3505,26,2206,15,1299
C0:84:7D:2E:9C:86,ALL,ip,114.132.172.71,572,48286,381,30946,191,17340
C0:84:7D:2E:9C:86,ALL,ip,114.132.173.132,39,3318,24,2044,15,1274
C0:84:7D:2E:9C:86,ALL,ip,114.132.178.5,44,3703,26,2206,18,1497
C0:84:7D:2E:9C:86,ALL,ip,114.132.216.181,187,15781,124,10114,63,5667
C0:84:7D:2E:9C:86,ALL,ip,114.132.84.86,42,3571,26,2206,16,1365
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.240,12,1695,7,680,5,1015
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.242,24,3417,13,1306,11,2111
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.245,21,3245,12,1252,9,1993
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.249,33,4937,19,1932,14,3005
C0:84:7D:2E:9C:86,ALL,ip,119.147.179.152,24,5602,14,4376,10,1226
C0:84:7D:2E:9C:86,ALL,ip,119.29.218.136,82,7010,52,4412,30,2598
C0:84:7D:2E:9C:86,ALL,ip,119.91.212.75,41,3505,26,2206,15,1299
C0:84:7D:2E:9C:86,ALL,ip,119.91.219.28,97,8275,63,5288,34,2987
C0:84:7D:2E:9C:86,ALL,ip,119.91.223.128,44,3758,28,2368,16,1390
C0:84:7D:2E:9C:86,ALL,ip,119.91.63.144,754,63598,502,40732,252,22866
C0:84:7D:2E:9C:86,ALL,ip,123.207.0.34,524,44238,349,28354,175,15884
C0:84:7D:2E:9C:86,ALL,ip,123.207.47.70,42,3571,26,2206,16,1365
C0:84:7D:2E:9C:86,ALL,ip,129.204.53.84,41,3505,26,2206,15,1299
