MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
44:3D:54:BE:12:3C,ALL,ip,100.24.128.152,395,246071,230,210625,165,35446
44:3D:54:BE:12:3C,ALL,ip,107.20.21.94,913,668473,541,582561,372,85912
44:3D:54:BE:12:3C,ALL,ip,107.20.50.205,51,20621,26,12823,25,7798
44:3D:54:BE:12:3C,ALL,ip,107.21.191.216,918,598696,520,517108,398,81588
44:3D:54:BE:12:3C,ALL,ip,107.22.135.244,220,180634,129,156056,91,24578
44:3D:54:BE:12:3C,ALL,ip,107.22.211.205,518,391413,304,346597,214,44816
44:3D:54:BE:12:3C,ALL,ip,107.23.106.67,354,277773,201,249255,153,28518
44:3D:54:BE:12:3C,ALL,ip,108.138.105.27,235,78090,132,18641,103,59449
44:3D:54:BE:12:3C,ALL,ip,108.138.123.164,126,41374,75,10519,51,30855
44:3D:54:BE:12:3C,ALL,ip,108.138.125.14,620,83473,310,32054,310,51419
44:3D:54:BE:12:3C,ALL,ip,108.138.125.193,480,64632,240,24816,240,39816
44:3D:54:BE:12:3C,ALL,ip,108.138.125.194,411,55281,206,21275,205,34006
44:3D:54:BE:12:3C,ALL,ip,108.138.125.198,532,71490,266,27467,266,44023
44:3D:54:BE:12:3C,ALL,ip,108.138.61.102,80,10776,40,4136,40,6640
44:3D:54:BE:12:3C,ALL,ip,108.138.61.174,40,5388,20,2068,20,3320
44:3D:54:BE:12:3C,ALL,ip,108.138.61.34,90,12122,45,4653,45,7469
44:3D:54:BE:12:3C,ALL,ip,108.138.61.8,90,12123,45,4653,45,7470
44:3D:54:BE:12:3C,ALL,ip,108.138.63.186,780,266033,447,61078,333,204955
44:3D:54:BE:12:3C,ALL,ip,108.138.78.184,11115,3673628,6322,889305,4793,2784323
44:3D:54:BE:12:3C,ALL,ip,108.138.82.190,340,45797,170,17578,170,28219
44:3D:54:BE:12:3C,ALL,ip,108.138.82.203,370,49843,185,19129,185,30714
44:3D:54:BE:12:3C,ALL,ip,108.138.82.54,360,48491,180,18612,180,29879
44:3D:54:BE:12:3C,ALL,ip,108.138.82.9,390,52531,195,20163,195,32368
44:3D:54:BE:12:3C,ALL,ip,108.139.36.72,2817,933045,1590,222089,1227,710956
44:3D:54:BE:12:3C,ALL,ip,108.139.45.164,1931,641981,1099,154697,832,487284
44:3D:54:BE:12:3C,ALL,ip,108.156.155.183,86,28567,52,7677,34,20890
44:3D:54:BE:12:3C,ALL,ip,108.159.224.221,10,1348,5,517,5,831
44:3D:54:BE:12:3C,ALL,ip,13.224.208.139,20,2694,10,1034,10,1660
44:3D:54:BE:12:3C,ALL,ip,13.224.208.151,10,1346,5,517,5,829
44:3D:54:BE:12:3C,ALL,ip,13.224.208.198,20,2694,10,1034,10,1660
44:3D:54:BE:12:3C,ALL,ip,13.224.208.72,30,4040,15,1551,15,2489
44:3D:54:BE:12:3C,ALL,ip,13.224.212.81,66,21226,38,5339,28,15887
44:3D:54:BE:12:3C,ALL,ip,13.225.205.137,31,9702,19,2679,12,7023
44:3D:54:BE:12:3C,ALL,ip,13.225.63.76,23,8687,11,1748,12,6939
44:3D:54:BE:12:3C,ALL,ip,13.225.66.127,180,24245,90,9306,90,14939
44:3D:54:BE:12:3C,ALL,ip,13.225.66.162,171,22952,86,8843,85,14109
44:3D:54:BE:12:3C,ALL,ip,13.225.66.219,90,12119,45,4653,45,7466
44:3D:54:BE:12:3C,ALL,ip,13.225.66.84,220,29628,110,11374,110,18254
44:3D:54:BE:12:3C,ALL,ip,13.226.23.120,10,1348,5,517,5,831
