MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
AC:84:C6:20:FE:4B,ALL,ip,109.74.206.120,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,129.250.35.250,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,129.250.35.251,12,1080,6,540,6,540
AC:84:C6:20:FE:4B,ALL,ip,130.159.196.118,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,131.111.8.60,12,1080,6,540,6,540
AC:84:C6:20:FE:4B,ALL,ip,131.111.8.61,8,720,4,360,4,360
AC:84:C6:20:FE:4B,ALL,ip,131.111.8.63,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,132.226.210.133,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,134.0.16.1,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,139.143.5.30,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,139.143.5.31,10,900,5,450,5,450
AC:84:C6:20:FE:4B,ALL,ip,139.162.219.252,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,139.162.249.33,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,141.147.71.134,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,144.48.81.244,8,720,4,360,4,360
AC:84:C6:20:FE:4B,ALL,ip,148.253.179.18,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,148.253.179.19,16,1440,8,720,8,720
AC:84:C6:20:FE:4B,ALL,ip,158.43.128.33,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,159.65.53.52,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,162.159.200.1,16,1440,8,720,8,720
AC:84:C6:20:FE:4B,ALL,ip,162.159.200.123,28,2520,14,1260,14,1260
AC:84:C6:20:FE:4B,ALL,ip,176.126.241.154,2,180,1,90,1,90
