MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
64:B7:08:A9:2B:20,ALL,ip,18.204.83.38,830,74700,415,37350,415,37350
64:B7:08:A9:2B:20,ALL,ip,18.204.96.150,850,76500,425,38250,425,38250
64:B7:08:A9:2B:20,ALL,ip,18.234.8.250,924,83160,462,41580,462,41580
64:B7:08:A9:2B:20,ALL,ip,209.54.177.114,162,48714,90,11904,72,36810
64:B7:08:A9:2B:20,ALL,ip,209.54.177.117,160,48606,89,11850,71,36756
64:B7:08:A9:2B:20,ALL,ip,209.54.177.153,54,16267,30,3968,24,12299
64:B7:08:A9:2B:20,ALL,ip,209.54.177.154,108,32505,60,7936,48,24569
64:B7:08:A9:2B:20,ALL,ip,209.54.177.157,55,16321,30,3968,25,12353
64:B7:08:A9:2B:20,ALL,ip,209.54.178.134,54,16238,30,3968,24,12270
64:B7:08:A9:2B:20,ALL,ip,209.54.178.164,162,48714,90,11904,72,36810
64:B7:08:A9:2B:20,ALL,ip,209.54.178.166,187,56725,104,13834,83,42891
64:B7:08:A9:2B:20,ALL,ip,209.54.179.88,55,16321,30,3968,25,12353
64:B7:08:A9:2B:20,ALL,ip,209.54.179.93,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,ip,209.54.180.25,135,40595,75,9920,60,30675
64:B7:08:A9:2B:20,ALL,ip,209.54.180.27,187,56725,104,13834,83,42891
64:B7:08:A9:2B:20,ALL,ip,209.54.180.44,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,ip,209.54.181.4,54,16238,30,3968,24,12270
64:B7:08:A9:2B:20,ALL,ip,209.54.181.98,81,24357,45,5952,36,18405
64:B7:08:A9:2B:20,ALL,ip,35.153.21.233,764,68760,382,34380,382,34380
64:B7:08:A9:2B:20,ALL,ip,35.168.46.68,726,65340,363,32670,363,32670
64:B7:08:A9:2B:20,ALL,ip,44.215.114.101,26,7922,15,2194,11,5728
64:B7:08:A9:2B:20,ALL,ip,44.215.139.77,52,15873,30,4388,22,11485
64:B7:08:A9:2B:20,ALL,ip,44.215.142.74,78,23723,45,6582,33,17141
64:B7:08:A9:2B:20,ALL,ip,52.119.196.31,81,24357,45,5952,36,18405
64:B7:08:A9:2B:20,ALL,ip,52.119.198.101,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,ip,52.119.198.106,136,40649,75,9920,61,30729
64:B7:08:A9:2B:20,ALL,ip,52.119.198.109,162,48743,90,11904,72,36839
64:B7:08:A9:2B:20,ALL,ip,52.119.198.118,190,56887,106,13942,84,42945
64:B7:08:A9:2B:20,ALL,ip,52.119.198.186,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,ip,52.119.198.189,52,16130,29,3914,23,12216
64:B7:08:A9:2B:20,ALL,ip,52.119.198.2,27,8119,15,1984,12,6135
64:B7:08:A9:2B:20,ALL,ip,52.2.121.24,6816,716843,4277,510851,2539,205992
64:B7:08:A9:2B:20,ALL,ip,52.46.128.81,154,48282,86,11688,68,36594
64:B7:08:A9:2B:20,ALL,ip,52.46.131.169,76,24087,42,5790,34,18297
64:B7:08:A9:2B:20,ALL,ip,52.46.131.184,161,48660,90,11904,71,36756
64:B7:08:A9:2B:20,ALL,ip,52.46.131.209,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,ip,52.46.143.123,132,40433,74,9866,58,30567
64:B7:08:A9:2B:20,ALL,ip,52.46.146.126,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,ip,52.46.149.20,53,16184,29,3914,24,12270
64:B7:08:A9:2B:20,ALL,ip,52.46.149.29,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,ip,52.46.149.57,160,48606,89,11850,71,36756
64:B7:08:A9:2B:20,ALL,ip,52.46.155.112,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,ip,52.46.158.193,241,72963,134,17802,107,55161
64:B7:08:A9:2B:20,ALL,ip,52.94.231.169,213,64819,118,15764,95,49055
64:B7:08:A9:2B:20,ALL,ip,52.94.241.146,107,32422,59,7882,48,24540
64:B7:08:A9:2B:20,ALL,ip,52.94.242.236,236,72693,131,17640,105,55053
64:B7:08:A9:2B:20,ALL,ip,54.239.27.82,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,ip,72.21.207.143,108,32505,60,7936,48,24569
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.114,162,48714,90,11904,72,36810
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.117,160,48606,89,11850,71,36756
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.153,54,16267,30,3968,24,12299
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.154,108,32505,60,7936,48,24569
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.157,55,16321,30,3968,25,12353
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.134,54,16238,30,3968,24,12270
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.164,162,48714,90,11904,72,36810
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.166,187,56725,104,13834,83,42891
64:B7:08:A9:2B:20,ALL,tcp,209.54.179.88,55,16321,30,3968,25,12353
64:B7:08:A9:2B:20,ALL,tcp,209.54.179.93,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.25,135,40595,75,9920,60,30675
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.27,187,56725,104,13834,83,42891
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.44,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,tcp,209.54.181.4,54,16238,30,3968,24,12270
64:B7:08:A9:2B:20,ALL,tcp,209.54.181.98,81,24357,45,5952,36,18405
64:B7:08:A9:2B:20,ALL,tcp,44.215.114.101,26,7922,15,2194,11,5728
64:B7:08:A9:2B:20,ALL,tcp,44.215.139.77,52,15873,30,4388,22,11485
64:B7:08:A9:2B:20,ALL,tcp,44.215.142.74,78,23723,45,6582,33,17141
64:B7:08:A9:2B:20,ALL,tcp,52.119.196.31,81,24357,45,5952,36,18405
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.101,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.106,136,40649,75,9920,61,30729
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.109,162,48743,90,11904,72,36839
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.118,190,56887,106,13942,84,42945
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.186,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.189,52,16130,29,3914,23,12216
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.2,27,8119,15,1984,12,6135
64:B7:08:A9:2B:20,ALL,tcp,52.2.121.24,6816,716843,4277,510851,2539,205992
64:B7:08:A9:2B:20,ALL,tcp,52.46.128.81,154,48282,86,11688,68,36594
64:B7:08:A9:2B:20,ALL,tcp,52.46.131.169,76,24087,42,5790,34,18297
64:B7:08:A9:2B:20,ALL,tcp,52.46.131.184,161,48660,90,11904,71,36756
64:B7:08:A9:2B:20,ALL,tcp,52.46.131.209,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,tcp,52.46.143.123,132,40433,74,9866,58,30567
64:B7:08:A9:2B:20,ALL,tcp,52.46.146.126,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,tcp,52.46.149.20,53,16184,29,3914,24,12270
64:B7:08:A9:2B:20,ALL,tcp,52.46.149.29,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,tcp,52.46.149.57,160,48606,89,11850,71,36756
64:B7:08:A9:2B:20,ALL,tcp,52.46.155.112,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,tcp,52.46.158.193,241,72963,134,17802,107,55161
64:B7:08:A9:2B:20,ALL,tcp,52.94.231.169,213,64819,118,15764,95,49055
64:B7:08:A9:2B:20,ALL,tcp,52.94.241.146,107,32422,59,7882,48,24540
64:B7:08:A9:2B:20,ALL,tcp,52.94.242.236,236,72693,131,17640,105,55053
64:B7:08:A9:2B:20,ALL,tcp,54.239.27.82,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,tcp,72.21.207.143,108,32505,60,7936,48,24569
64:B7:08:A9:2B:20,ALL,udp,18.204.83.38,830,74700,415,37350,415,37350
64:B7:08:A9:2B:20,ALL,udp,18.204.96.150,850,76500,425,38250,425,38250
64:B7:08:A9:2B:20,ALL,udp,18.234.8.250,924,83160,462,41580,462,41580
64:B7:08:A9:2B:20,ALL,udp,35.153.21.233,764,68760,382,34380,382,34380
64:B7:08:A9:2B:20,ALL,udp,35.168.46.68,726,65340,363,32670,363,32670
64:B7:08:A9:2B:20,ALL,tls,209.54.177.114,66,43482,36,8964,30,34518
64:B7:08:A9:2B:20,ALL,tls,209.54.177.117,66,43482,36,8964,30,34518
64:B7:08:A9:2B:20,ALL,tls,209.54.177.153,23,14577,12,2988,11,11589
64:B7:08:A9:2B:20,ALL,tls,209.54.177.154,45,29071,24,5976,21,23095
64:B7:08:A9:2B:20,ALL,tls,209.54.177.157,23,14577,12,2988,11,11589
64:B7:08:A9:2B:20,ALL,tls,209.54.178.134,22,14494,12,2988,10,11506
64:B7:08:A9:2B:20,ALL,tls,209.54.178.164,66,43482,36,8964,30,34518
64:B7:08:A9:2B:20,ALL,tls,209.54.178.166,77,50729,42,10458,35,40271
64:B7:08:A9:2B:20,ALL,tls,209.54.179.88,23,14577,12,2988,11,11589
64:B7:08:A9:2B:20,ALL,tls,209.54.179.93,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,209.54.180.25,55,36235,30,7470,25,28765
64:B7:08:A9:2B:20,ALL,tls,209.54.180.27,77,50729,42,10458,35,40271
64:B7:08:A9:2B:20,ALL,tls,209.54.180.44,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,209.54.181.4,22,14494,12,2988,10,11506
64:B7:08:A9:2B:20,ALL,tls,209.54.181.98,33,21741,18,4482,15,17259
64:B7:08:A9:2B:20,ALL,tls,44.215.114.101,11,7104,6,1704,5,5400
64:B7:08:A9:2B:20,ALL,tls,44.215.139.77,23,14291,12,3408,11,10883
64:B7:08:A9:2B:20,ALL,tls,44.215.142.74,33,21269,18,5112,15,16157
64:B7:08:A9:2B:20,ALL,tls,52.119.196.31,33,21741,18,4482,15,17259
64:B7:08:A9:2B:20,ALL,tls,52.119.198.101,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.119.198.106,55,34875,30,7470,25,27405
64:B7:08:A9:2B:20,ALL,tls,52.119.198.109,66,43511,36,8964,30,34547
64:B7:08:A9:2B:20,ALL,tls,52.119.198.118,77,50729,42,10458,35,40271
64:B7:08:A9:2B:20,ALL,tls,52.119.198.186,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.119.198.189,22,14494,12,2988,10,11506
64:B7:08:A9:2B:20,ALL,tls,52.119.198.2,11,7247,6,1494,5,5753
64:B7:08:A9:2B:20,ALL,tls,52.2.121.24,4415,587189,2209,399179,2206,188010
64:B7:08:A9:2B:20,ALL,tls,52.46.128.81,66,43482,36,8964,30,34518
64:B7:08:A9:2B:20,ALL,tls,52.46.131.169,33,21741,18,4482,15,17259
64:B7:08:A9:2B:20,ALL,tls,52.46.131.184,66,43482,36,8964,30,34518
64:B7:08:A9:2B:20,ALL,tls,52.46.131.209,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.46.143.123,55,36235,30,7470,25,28765
64:B7:08:A9:2B:20,ALL,tls,52.46.146.126,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.46.149.20,22,14494,12,2988,10,11506
64:B7:08:A9:2B:20,ALL,tls,52.46.149.29,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.46.149.57,66,43482,36,8964,30,34518
64:B7:08:A9:2B:20,ALL,tls,52.46.155.112,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.46.158.193,99,65223,54,13446,45,51777
64:B7:08:A9:2B:20,ALL,tls,52.94.231.169,88,58005,48,11952,40,46053
64:B7:08:A9:2B:20,ALL,tls,52.94.241.146,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,52.94.242.236,99,65223,54,13446,45,51777
64:B7:08:A9:2B:20,ALL,tls,54.239.27.82,44,28988,24,5976,20,23012
64:B7:08:A9:2B:20,ALL,tls,72.21.207.143,45,29071,24,5976,21,23095
64:B7:08:A9:2B:20,ALL,ntp,18.204.83.38,830,74700,415,37350,415,37350
64:B7:08:A9:2B:20,ALL,ntp,18.204.96.150,850,76500,425,38250,425,38250
64:B7:08:A9:2B:20,ALL,ntp,18.234.8.250,924,83160,462,41580,462,41580
64:B7:08:A9:2B:20,ALL,ntp,35.153.21.233,764,68760,382,34380,382,34380
64:B7:08:A9:2B:20,ALL,ntp,35.168.46.68,726,65340,363,32670,363,32670
64:B7:08:A9:2B:20,ALL,tcp:8883,192.168.1.111*,6816,716843,2539,205992,4277,510851
64:B7:08:A9:2B:20,ALL,tcp:8883,52.2.121.24*,6816,716843,4277,510851,2539,205992
64:B7:08:A9:2B:20,ALL,https,209.54.177.114,162,48714,90,11904,72,36810
64:B7:08:A9:2B:20,ALL,https,209.54.177.117,160,48606,89,11850,71,36756
64:B7:08:A9:2B:20,ALL,https,209.54.177.153,54,16267,30,3968,24,12299
64:B7:08:A9:2B:20,ALL,https,209.54.177.154,108,32505,60,7936,48,24569
64:B7:08:A9:2B:20,ALL,https,209.54.177.157,55,16321,30,3968,25,12353
64:B7:08:A9:2B:20,ALL,https,209.54.178.134,54,16238,30,3968,24,12270
64:B7:08:A9:2B:20,ALL,https,209.54.178.164,162,48714,90,11904,72,36810
64:B7:08:A9:2B:20,ALL,https,209.54.178.166,187,56725,104,13834,83,42891
64:B7:08:A9:2B:20,ALL,https,209.54.179.88,55,16321,30,3968,25,12353
64:B7:08:A9:2B:20,ALL,https,209.54.179.93,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,https,209.54.180.25,135,40595,75,9920,60,30675
64:B7:08:A9:2B:20,ALL,https,209.54.180.27,187,56725,104,13834,83,42891
64:B7:08:A9:2B:20,ALL,https,209.54.180.44,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,https,209.54.181.4,54,16238,30,3968,24,12270
64:B7:08:A9:2B:20,ALL,https,209.54.181.98,81,24357,45,5952,36,18405
64:B7:08:A9:2B:20,ALL,https,44.215.114.101,26,7922,15,2194,11,5728
64:B7:08:A9:2B:20,ALL,https,44.215.139.77,52,15873,30,4388,22,11485
64:B7:08:A9:2B:20,ALL,https,44.215.142.74,78,23723,45,6582,33,17141
64:B7:08:A9:2B:20,ALL,https,52.119.196.31,81,24357,45,5952,36,18405
64:B7:08:A9:2B:20,ALL,https,52.119.198.101,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,https,52.119.198.106,136,40649,75,9920,61,30729
64:B7:08:A9:2B:20,ALL,https,52.119.198.109,162,48743,90,11904,72,36839
64:B7:08:A9:2B:20,ALL,https,52.119.198.118,190,56887,106,13942,84,42945
64:B7:08:A9:2B:20,ALL,https,52.119.198.186,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,https,52.119.198.189,52,16130,29,3914,23,12216
64:B7:08:A9:2B:20,ALL,https,52.119.198.2,27,8119,15,1984,12,6135
64:B7:08:A9:2B:20,ALL,https,52.46.128.81,154,48282,86,11688,68,36594
64:B7:08:A9:2B:20,ALL,https,52.46.131.169,76,24087,42,5790,34,18297
64:B7:08:A9:2B:20,ALL,https,52.46.131.184,161,48660,90,11904,71,36756
64:B7:08:A9:2B:20,ALL,https,52.46.131.209,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,https,52.46.143.123,132,40433,74,9866,58,30567
64:B7:08:A9:2B:20,ALL,https,52.46.146.126,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,https,52.46.149.20,53,16184,29,3914,24,12270
64:B7:08:A9:2B:20,ALL,https,52.46.149.29,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,https,52.46.149.57,160,48606,89,11850,71,36756
64:B7:08:A9:2B:20,ALL,https,52.46.155.112,108,32476,60,7936,48,24540
64:B7:08:A9:2B:20,ALL,https,52.46.158.193,241,72963,134,17802,107,55161
64:B7:08:A9:2B:20,ALL,https,52.94.231.169,213,64819,118,15764,95,49055
64:B7:08:A9:2B:20,ALL,https,52.94.241.146,107,32422,59,7882,48,24540
64:B7:08:A9:2B:20,ALL,https,52.94.242.236,236,72693,131,17640,105,55053
64:B7:08:A9:2B:20,ALL,https,54.239.27.82,106,32368,59,7882,47,24486
64:B7:08:A9:2B:20,ALL,https,72.21.207.143,108,32505,60,7936,48,24569
