MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
60:74:F4:1B:24:16,ALL,ip,104.167.241.197,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,108.181.220.94,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,108.61.73.243,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,129.250.35.250,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,142.147.88.111,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,144.34.193.110,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,162.159.200.1,6,540,3,270,3,270
60:74:F4:1B:24:16,ALL,ip,162.159.200.123,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,171.66.97.126,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,174.136.99.6,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,174.53.169.69,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,198.30.92.2,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,198.60.22.240,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,203.107.6.88,121,10890,61,5490,60,5400
60:74:F4:1B:24:16,ALL,ip,204.17.205.8,4,360,2,180,2,180
60:74:F4:1B:24:16,ALL,ip,204.2.134.162,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,208.67.72.43,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,216.218.254.202,4,360,2,180,2,180
60:74:F4:1B:24:16,ALL,ip,216.229.4.66,1,90,1,90,0,0
60:74:F4:1B:24:16,ALL,ip,216.229.4.69,2,180,1,90,1,90
60:74:F4:1B:24:16,ALL,ip,216.239.35.0,44,3960,22,1980,22,1980
60:74:F4:1B:24:16,ALL,ip,216.239.35.12,28,2520,14,1260,14,1260
60:74:F4:1B:24:16,ALL,ip,216.239.35.4,24,2160,12,1080,12,1080
60:74:F4:1B:24:16,ALL,ip,216.239.35.8,38,3420,19,1710,19,1710
