MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
EC:B5:FA:99:AC:15,ALL,ip,192.168.1.107,639562,135434556,351635,111422976,287927,24011580
EC:B5:FA:99:AC:15,ALL,ip,192.168.1.109,7924,1605138,5024,1363336,2900,241802
EC:B5:FA:99:AC:15,ALL,ip,224.0.0.251,14916,4872736,14916,4872736,0,0
EC:B5:FA:99:AC:15,ALL,ip,239.255.255.250,69660,24450660,69660,24450660,0,0
EC:B5:FA:99:AC:15,ALL,tcp,192.168.1.107,575788,113878944,287861,89867364,287927,24011580
EC:B5:FA:99:AC:15,ALL,tcp,192.168.1.109,5800,887226,2900,645424,2900,241802
EC:B5:FA:99:AC:15,ALL,udp,192.168.1.107,63774,21555612,63774,21555612,0,0
EC:B5:FA:99:AC:15,ALL,udp,192.168.1.109,2124,717912,2124,717912,0,0
EC:B5:FA:99:AC:15,ALL,udp,224.0.0.251,14916,4872736,14916,4872736,0,0
EC:B5:FA:99:AC:15,ALL,udp,239.255.255.250,69660,24450660,69660,24450660,0,0
EC:B5:FA:99:AC:15,ALL,http,192.168.1.107,115140,13874370,57570,3454200,57570,10420170
EC:B5:FA:99:AC:15,ALL,http,192.168.1.109,1160,139722,580,34800,580,104922
EC:B5:FA:99:AC:15,ALL,ssdp,192.168.1.107,63774,21555612,63774,21555612,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,192.168.1.109,2124,717912,2124,717912,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,239.255.255.250,69660,24450660,69660,24450660,0,0
EC:B5:FA:99:AC:15,ALL,mdns,192.168.1.106*,14916,4872736,0,0,14916,4872736
EC:B5:FA:99:AC:15,ALL,mdns,224.0.0.251*,14916,4872736,14916,4872736,0,0
