MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
AC:84:C6:20:FE:4B,ALL,ip,103.214.44.30,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,109.74.206.120,10,900,5,450,5,450
AC:84:C6:20:FE:4B,ALL,ip,129.215.160.240,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,129.250.35.250,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,129.250.35.251,8,720,4,360,4,360
AC:84:C6:20:FE:4B,ALL,ip,13.41.102.135,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,130.159.196.118,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,131.111.8.60,12,1080,6,540,6,540
AC:84:C6:20:FE:4B,ALL,ip,131.111.8.61,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,131.111.8.63,10,900,5,450,5,450
AC:84:C6:20:FE:4B,ALL,ip,132.226.210.133,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,134.0.16.1,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,139.143.5.30,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,139.143.5.31,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,139.162.219.252,10,900,5,450,5,450
AC:84:C6:20:FE:4B,ALL,ip,141.147.71.134,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,162.159.200.1,18,1620,9,810,9,810
AC:84:C6:20:FE:4B,ALL,ip,162.159.200.123,20,1800,10,900,10,900
AC:84:C6:20:FE:4B,ALL,ip,176.58.109.199,10,900,5,450,5,450
AC:84:C6:20:FE:4B,ALL,ip,176.58.127.165,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,178.215.228.24,6,540,3,270,3,270
AC:84:C6:20:FE:4B,ALL,ip,178.62.18.76,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,178.62.250.107,4,360,2,180,2,180
AC:84:C6:20:FE:4B,ALL,ip,178.62.68.79,16,1440,8,720,8,720
AC:84:C6:20:FE:4B,ALL,ip,178.79.155.116,2,180,1,90,1,90
AC:84:C6:20:FE:4B,ALL,ip,178.79.188.22,4,360,2,180,2,180
