MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:100:face:b00c:0:3,4544,7810947,2211,197473,2333,7613474
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:110:face:b00c:0:2b80,1065,326336,557,104699,508,221637
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:112:face:b00c:0:2,74244,55590142,33713,48522319,40531,7067823
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:115:face:b00c:0:8e,3382,458816,1752,205707,1630,253109
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:116:face:b00c:0:6206,3388,417963,2023,215877,1365,202086
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:c05:face:b00c:0:8e,1819,225158,1025,110369,794,114789
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:c07:face:b00c:0:2,42982,34202576,19329,30024403,23653,4178173
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:c09:face:b00c:0:6206,2835,348495,1721,183086,1114,165409
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f003:c1b:face:b00c:0:2b80,775,250164,415,85574,360,164590
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f011:10e:face:b00c:0:2b80,26,7950,14,2420,12,5530
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f011:110:face:b00c:0:2,256,266469,121,219809,135,46660
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f011:1:face:b00c:0:1,350,278122,159,214159,191,63963
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f012:100:face:b00c:0:2,19,6252,10,1676,9,4576
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f082:e:face:b00c:0:2,49,59799,20,53084,29,6715
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f103:181:face:b00c:0:25de,2222,2059452,1090,476810,1132,1582642
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f103:183:face:b00c:0:1ea0,512,63428,263,31163,249,32265
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f103:80:face:b00c:0:1ea0,61,7354,32,3890,29,3464
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f103:83:face:b00c:0:25de,2186,2451495,1265,397694,921,2053801
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f203:1cc:face:b00c:0:32c2,39626,9474983,21954,3972626,17672,5502357
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f203:c1:face:b00c:0:32c2,22315,5295052,12268,2220370,10047,3074682
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f211:1ce:face:b00c:0:32c2,190,50785,108,18893,82,31892
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f211:c1:face:b00c:0:32c2,336,87435,186,32658,150,54777
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f212:1c8:face:b00c:0:32c2,87,22827,48,8153,39,14674
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:f212:c1:face:b00c:0:32c2,32,8863,16,2925,16,5938
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:ff08::123,120,13200,60,6600,60,6600
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:ff09::123,148,16280,74,8140,74,8140
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:ff0a::123,104,11440,52,5720,52,5720
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:ff0b::123,82,9020,41,4510,41,4510
80:F3:EF:F7:F7:C1,ALL,ipv6,2a03:2880:ff0c::123,104,11440,52,5720,52,5720
80:F3:EF:F7:F7:C1,ALL,ipv6,fdb3:3744:776d:0:a481:d289:98da:29cf,20,1720,10,740,10,980
80:F3:EF:F7:F7:C1,ALL,ipv6,fdb3:3744:776d::1,20,1720,10,980,10,740
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:100:face:b00c:0:3,4544,7810947,2211,197473,2333,7613474
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:110:face:b00c:0:2b80,1065,326336,557,104699,508,221637
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:112:face:b00c:0:2,74244,55590142,33713,48522319,40531,7067823
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:115:face:b00c:0:8e,3382,458816,1752,205707,1630,253109
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:116:face:b00c:0:6206,3388,417963,2023,215877,1365,202086
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:c05:face:b00c:0:8e,1819,225158,1025,110369,794,114789
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:c07:face:b00c:0:2,42982,34202576,19329,30024403,23653,4178173
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:c09:face:b00c:0:6206,2835,348495,1721,183086,1114,165409
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f003:c1b:face:b00c:0:2b80,775,250164,415,85574,360,164590
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f011:10e:face:b00c:0:2b80,26,7950,14,2420,12,5530
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f011:110:face:b00c:0:2,256,266469,121,219809,135,46660
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f011:1:face:b00c:0:1,350,278122,159,214159,191,63963
80:F3:EF:F7:F7:C1,ALL,tcp,2a03:2880:f012:100:face:b00c:0:2,19,6252,10,1676,9,4576
