MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
80:F3:EF:F7:F7:C1,ALL,ip,129.134.26.123,2,180,1,90,1,90
80:F3:EF:F7:F7:C1,ALL,ip,129.134.27.123,6,540,3,270,3,270
80:F3:EF:F7:F7:C1,ALL,ip,129.134.29.123,2,180,1,90,1,90
80:F3:EF:F7:F7:C1,ALL,ip,142.250.31.106,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,ip,142.250.31.94,10,1049,5,565,5,484
80:F3:EF:F7:F7:C1,ALL,ip,142.251.111.94,20,2098,10,1130,10,968
80:F3:EF:F7:F7:C1,ALL,ip,142.251.16.103,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,ip,142.251.16.147,21,7301,11,1573,10,5728
80:F3:EF:F7:F7:C1,ALL,ip,142.251.16.99,21,7301,11,1573,10,5728
80:F3:EF:F7:F7:C1,ALL,ip,142.251.167.103,21,7299,11,1573,10,5726
80:F3:EF:F7:F7:C1,ALL,ip,142.251.167.106,21,7301,11,1573,10,5728
80:F3:EF:F7:F7:C1,ALL,ip,142.251.35.163,10,1049,5,565,5,484
80:F3:EF:F7:F7:C1,ALL,ip,157.240.229.15,27,7470,13,2057,14,5413
80:F3:EF:F7:F7:C1,ALL,ip,157.240.229.17,459,438715,225,143826,234,294889
80:F3:EF:F7:F7:C1,ALL,ip,157.240.229.20,282,27004,139,11910,143,15094
80:F3:EF:F7:F7:C1,ALL,ip,157.240.229.34,1411,127780,717,64490,694,63290
80:F3:EF:F7:F7:C1,ALL,ip,157.240.229.35,28,21393,15,11681,13,9712
80:F3:EF:F7:F7:C1,ALL,ip,157.240.229.55,696,166341,375,64456,321,101885
80:F3:EF:F7:F7:C1,ALL,ip,157.240.241.20,215,22532,139,11879,76,10653
80:F3:EF:F7:F7:C1,ALL,ip,157.240.241.34,38,7262,22,2438,16,4824
80:F3:EF:F7:F7:C1,ALL,ip,157.240.241.55,103,30463,55,9392,48,21071
80:F3:EF:F7:F7:C1,ALL,ip,172.253.115.104,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,ip,172.253.115.106,21,7302,11,1573,10,5729
80:F3:EF:F7:F7:C1,ALL,ip,172.253.122.94,30,3147,15,1695,15,1452
80:F3:EF:F7:F7:C1,ALL,ip,172.253.122.99,22,7367,11,1573,11,5794
80:F3:EF:F7:F7:C1,ALL,ip,172.253.62.147,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,ip,172.253.62.94,21,2164,11,1196,10,968
80:F3:EF:F7:F7:C1,ALL,ip,172.253.63.94,10,1049,5,565,5,484
80:F3:EF:F7:F7:C1,ALL,ip,31.13.66.10,1255,115220,651,54739,604,60481
80:F3:EF:F7:F7:C1,ALL,ip,31.13.66.2,1442,142224,892,76412,550,65812
80:F3:EF:F7:F7:C1,ALL,ip,31.13.66.34,470,44551,237,20657,233,23894
80:F3:EF:F7:F7:C1,ALL,ip,31.13.66.4,300,231103,171,14522,129,216581
80:F3:EF:F7:F7:C1,ALL,ip,31.13.66.48,314,83190,169,29194,145,53996
80:F3:EF:F7:F7:C1,ALL,ip,31.13.71.1,65,56966,29,2735,36,54231
80:F3:EF:F7:F7:C1,ALL,tcp,142.250.31.106,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,tcp,142.250.31.94,10,1049,5,565,5,484
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.111.94,20,2098,10,1130,10,968
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.16.103,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.16.147,21,7301,11,1573,10,5728
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.16.99,21,7301,11,1573,10,5728
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.167.103,21,7299,11,1573,10,5726
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.167.106,21,7301,11,1573,10,5728
80:F3:EF:F7:F7:C1,ALL,tcp,142.251.35.163,10,1049,5,565,5,484
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.229.15,27,7470,13,2057,14,5413
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.229.17,459,438715,225,143826,234,294889
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.229.20,282,27004,139,11910,143,15094
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.229.34,1411,127780,717,64490,694,63290
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.229.35,28,21393,15,11681,13,9712
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.229.55,696,166341,375,64456,321,101885
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.241.20,215,22532,139,11879,76,10653
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.241.34,38,7262,22,2438,16,4824
80:F3:EF:F7:F7:C1,ALL,tcp,157.240.241.55,103,30463,55,9392,48,21071
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.115.104,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.115.106,21,7302,11,1573,10,5729
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.122.94,30,3147,15,1695,15,1452
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.122.99,22,7367,11,1573,11,5794
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.62.147,21,7300,11,1573,10,5727
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.62.94,21,2164,11,1196,10,968
80:F3:EF:F7:F7:C1,ALL,tcp,172.253.63.94,10,1049,5,565,5,484
80:F3:EF:F7:F7:C1,ALL,tcp,31.13.66.10,1255,115220,651,54739,604,60481
80:F3:EF:F7:F7:C1,ALL,tcp,31.13.66.2,1442,142224,892,76412,550,65812
80:F3:EF:F7:F7:C1,ALL,tcp,31.13.66.34,470,44551,237,20657,233,23894
80:F3:EF:F7:F7:C1,ALL,tcp,31.13.66.4,300,231103,171,14522,129,216581
