MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
B0:4A:39:24:BB:A6,ALL,ip,107.23.177.41,24,6393,13,1419,11,4974
B0:4A:39:24:BB:A6,ALL,ip,18.215.77.229,23,6327,12,1353,11,4974
B0:4A:39:24:BB:A6,ALL,ip,192.168.1.255,122804,14859284,122804,14859284,0,0
B0:4A:39:24:BB:A6,ALL,ip,3.208.250.187,23,7119,13,1874,10,5245
B0:4A:39:24:BB:A6,ALL,ip,3.218.40.177,23,6327,12,1353,11,4974
B0:4A:39:24:BB:A6,ALL,ip,3.224.109.93,49,12884,26,2838,23,10046
B0:4A:39:24:BB:A6,ALL,ip,3.234.117.239,46,12686,25,2772,21,9914
B0:4A:39:24:BB:A6,ALL,ip,3.90.90.68,9258,1042905,6057,701516,3201,341389
B0:4A:39:24:BB:A6,ALL,ip,34.198.156.152,47,12752,25,2772,22,9980
B0:4A:39:24:BB:A6,ALL,ip,34.203.110.85,24,6393,13,1419,11,4974
B0:4A:39:24:BB:A6,ALL,ip,34.205.36.44,93,25438,51,5610,42,19828
B0:4A:39:24:BB:A6,ALL,ip,34.233.80.41,2228,232627,1459,151016,769,81611
B0:4A:39:24:BB:A6,ALL,ip,34.234.52.98,18403,2024655,12076,1352624,6327,672031
B0:4A:39:24:BB:A6,ALL,ip,34.235.101.245,9185,1022808,6018,689196,3167,333612
B0:4A:39:24:BB:A6,ALL,ip,34.237.160.2,72,19179,39,4257,33,14922
B0:4A:39:24:BB:A6,ALL,ip,35.153.215.199,6520,681804,4331,456416,2189,225388
B0:4A:39:24:BB:A6,ALL,ip,44.196.175.243,24,6957,13,1989,11,4968
B0:4A:39:24:BB:A6,ALL,ip,44.205.149.15,49,12896,26,2838,23,10058
B0:4A:39:24:BB:A6,ALL,ip,44.240.201.23,336,129211,214,34333,122,94878
B0:4A:39:24:BB:A6,ALL,ip,52.10.34.30,488,191036,308,56159,180,134877
B0:4A:39:24:BB:A6,ALL,ip,52.20.174.99,8870,927551,5877,616542,2993,311009
B0:4A:39:24:BB:A6,ALL,ip,52.204.167.93,24,6393,13,1419,11,4974
B0:4A:39:24:BB:A6,ALL,ip,52.39.3.194,451,176119,278,54384,173,121735
B0:4A:39:24:BB:A6,ALL,ip,52.45.3.7,92,25364,51,5602,41,19762
B0:4A:39:24:BB:A6,ALL,ip,52.7.76.233,22,6261,12,1353,10,4908
B0:4A:39:24:BB:A6,ALL,ip,52.71.187.249,8887,928143,5872,615840,3015,312303
B0:4A:39:24:BB:A6,ALL,ip,54.145.128.172,26,7445,14,2014,12,5431
B0:4A:39:24:BB:A6,ALL,ip,54.211.87.187,49,12896,26,2838,23,10058
B0:4A:39:24:BB:A6,ALL,tcp,107.23.177.41,24,6393,13,1419,11,4974
B0:4A:39:24:BB:A6,ALL,tcp,18.215.77.229,23,6327,12,1353,11,4974
B0:4A:39:24:BB:A6,ALL,tcp,3.208.250.187,23,7119,13,1874,10,5245
B0:4A:39:24:BB:A6,ALL,tcp,3.218.40.177,23,6327,12,1353,11,4974
B0:4A:39:24:BB:A6,ALL,tcp,3.224.109.93,49,12884,26,2838,23,10046
B0:4A:39:24:BB:A6,ALL,tcp,3.234.117.239,46,12686,25,2772,21,9914
B0:4A:39:24:BB:A6,ALL,tcp,3.90.90.68,9258,1042905,6057,701516,3201,341389
B0:4A:39:24:BB:A6,ALL,tcp,34.198.156.152,47,12752,25,2772,22,9980
B0:4A:39:24:BB:A6,ALL,tcp,34.203.110.85,24,6393,13,1419,11,4974
B0:4A:39:24:BB:A6,ALL,tcp,34.205.36.44,93,25438,51,5610,42,19828
B0:4A:39:24:BB:A6,ALL,tcp,34.233.80.41,2228,232627,1459,151016,769,81611
B0:4A:39:24:BB:A6,ALL,tcp,34.234.52.98,18403,2024655,12076,1352624,6327,672031
B0:4A:39:24:BB:A6,ALL,tcp,34.235.101.245,9185,1022808,6018,689196,3167,333612
B0:4A:39:24:BB:A6,ALL,tcp,34.237.160.2,72,19179,39,4257,33,14922
B0:4A:39:24:BB:A6,ALL,tcp,35.153.215.199,6520,681804,4331,456416,2189,225388
B0:4A:39:24:BB:A6,ALL,tcp,44.196.175.243,24,6957,13,1989,11,4968
B0:4A:39:24:BB:A6,ALL,tcp,44.205.149.15,49,12896,26,2838,23,10058
B0:4A:39:24:BB:A6,ALL,tcp,44.240.201.23,336,129211,214,34333,122,94878
B0:4A:39:24:BB:A6,ALL,tcp,52.10.34.30,488,191036,308,56159,180,134877
B0:4A:39:24:BB:A6,ALL,tcp,52.20.174.99,8870,927551,5877,616542,2993,311009
B0:4A:39:24:BB:A6,ALL,tcp,52.204.167.93,24,6393,13,1419,11,4974
B0:4A:39:24:BB:A6,ALL,tcp,52.39.3.194,451,176119,278,54384,173,121735
B0:4A:39:24:BB:A6,ALL,tcp,52.45.3.7,92,25364,51,5602,41,19762
B0:4A:39:24:BB:A6,ALL,tcp,52.7.76.233,22,6261,12,1353,10,4908
B0:4A:39:24:BB:A6,ALL,tcp,52.71.187.249,8887,928143,5872,615840,3015,312303
B0:4A:39:24:BB:A6,ALL,tcp,54.145.128.172,26,7445,14,2014,12,5431
B0:4A:39:24:BB:A6,ALL,tcp,54.211.87.187,49,12896,26,2838,23,10058
B0:4A:39:24:BB:A6,ALL,udp,192.168.1.255,122804,14859284,122804,14859284,0,0
B0:4A:39:24:BB:A6,ALL,tls,107.23.177.41,9,3939,4,817,5,3122
B0:4A:39:24:BB:A6,ALL,tls,18.215.77.229,9,3939,4,817,5,3122
B0:4A:39:24:BB:A6,ALL,tls,3.208.250.187,9,6179,4,1272,5,4907
B0:4A:39:24:BB:A6,ALL,tls,3.218.40.177,9,3939,4,817,5,3122
B0:4A:39:24:BB:A6,ALL,tls,3.224.109.93,18,7910,8,1634,10,6276
B0:4A:39:24:BB:A6,ALL,tls,3.234.117.239,18,9358,8,1634,10,7724
B0:4A:39:24:BB:A6,ALL,tls,3.90.90.68,6076,812605,3037,481940,3039,330665
B0:4A:39:24:BB:A6,ALL,tls,34.198.156.152,18,7910,8,1634,10,6276
B0:4A:39:24:BB:A6,ALL,tls,34.203.110.85,9,3939,4,817,5,3122
B0:4A:39:24:BB:A6,ALL,tls,34.205.36.44,36,18716,16,3268,20,15448
B0:4A:39:24:BB:A6,ALL,tls,34.233.80.41,1457,180241,728,102762,729,77479
B0:4A:39:24:BB:A6,ALL,tls,34.234.52.98,12092,1583429,6043,931302,6049,652127
B0:4A:39:24:BB:A6,ALL,tls,34.235.101.245,6031,791352,3013,467714,3018,323638
B0:4A:39:24:BB:A6,ALL,tls,34.237.160.2,27,11817,12,2451,15,9366
B0:4A:39:24:BB:A6,ALL,tls,35.153.215.199,4330,537252,2164,313418,2166,223834
B0:4A:39:24:BB:A6,ALL,tls,44.196.175.243,9,4503,4,1387,5,3116
B0:4A:39:24:BB:A6,ALL,tls,44.205.149.15,18,7910,8,1634,10,6276
B0:4A:39:24:BB:A6,ALL,tls,44.240.201.23,128,106875,66,24453,62,82422
B0:4A:39:24:BB:A6,ALL,tls,52.10.34.30,188,165688,100,42271,88,123417
