Interval,Frames,Bytes
0 <> 21600,14237,4483885
21600 <> 43200,14814,4759343
43200 <> 64800,15304,5071275
64800 <> 86400,15120,4866117
86400 <> 108000,15362,4939343
108000 <> 129600,14668,4724319
129600 <> 151200,15004,4861323
151200 <> 172800,38653,108945166
172800 <> 194400,31240,17963636
194400 <> 216000,18203,7183899
216000 <> 237600,16392,6458180
237600 <> 259200,13975,5377416
259200 <> 280800,16138,6232368
280800 <> 302400,15769,5908018
302400 <> 324000,15514,6165202
324000 <> 345600,12925,4808332
345600 <> 367200,16862,6359475
367200 <> 388800,15242,5695805
388800 <> 410400,14934,5698432
410400 <> 432000,13905,5265059
432000 <> 453600,18378,7436542
453600 <> 475200,13739,4899553
475200 <> 496800,14344,5605830
496800 <> Dur,16599,6201398
