Interval,Frames,Bytes
0 <> 21600,6510,749410
21600 <> 43200,6699,811031
43200 <> 64800,6536,751371
64800 <> 86400,7144,917601
86400 <> 108000,6569,759894
108000 <> 129600,6727,813383
129600 <> 151200,6550,752637
151200 <> 172800,6682,788475
172800 <> 194400,6530,750754
194400 <> 216000,6723,813433
216000 <> 237600,6581,756388
237600 <> 259200,6824,808459
259200 <> 280800,6630,762455
280800 <> 302400,6758,817399
302400 <> 324000,6622,761305
324000 <> 345600,7126,909857
345600 <> 367200,6566,755265
367200 <> 388800,6721,813139
388800 <> 410400,6563,754693
410400 <> 432000,6773,802261
432000 <> 453600,6563,755487
453600 <> 475200,6758,817671
475200 <> 496800,6574,755430
496800 <> Dur,6824,808808
