Interval,Frames,Bytes
0 <> 21600,24772,5151843
21600 <> 43200,24810,5171766
43200 <> 64800,24681,5135871
64800 <> 86400,24692,5144826
86400 <> 108000,24795,5166933
108000 <> 129600,24974,5225888
129600 <> 151200,24789,5164099
151200 <> 172800,24849,5181566
172800 <> 194400,24817,5172616
194400 <> 216000,24855,5190426
216000 <> 237600,24796,5165746
237600 <> 259200,24709,5146721
259200 <> 280800,24786,5159878
280800 <> 302400,24974,5216461
302400 <> 324000,24733,5144893
324000 <> 345600,24795,5160535
345600 <> 367200,24841,5176082
367200 <> 388800,24929,5211921
388800 <> 410400,24692,5136557
410400 <> 432000,24785,5156959
432000 <> 453600,24806,5165934
453600 <> 475200,24909,5207220
475200 <> 496800,24747,5145546
496800 <> Dur,24719,5141405
