Interval,Frames,Bytes
0 <> 21600,31243,6534711
21600 <> 43200,30949,6453176
43200 <> 64800,31162,6495285
64800 <> 86400,30965,6463498
86400 <> 108000,31089,6507230
108000 <> 129600,31123,6497279
129600 <> 151200,30851,6425979
151200 <> 172800,31102,6498824
172800 <> 194400,30947,6502832
194400 <> 216000,30981,6460259
216000 <> 237600,31143,6494768
237600 <> 259200,30530,6369686
259200 <> 280800,31073,6514360
280800 <> 302400,31062,6489001
302400 <> 324000,30887,6436911
324000 <> 345600,30683,6403587
345600 <> 367200,30999,6493267
367200 <> 388800,30873,6442878
388800 <> 410400,30979,6473694
410400 <> 432000,30696,6404694
432000 <> 453600,30930,6475012
453600 <> 475200,30813,6424948
475200 <> 496800,30782,6415876
496800 <> Dur,30869,6423517
