IP,Hostname,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.123.2,None,None,None,81595,15031694,58253,13175198,23342,1856496
239.255.255.250,None,None,None,30354,10654254,0,0,30354,10654254
34.117.13.189,ws.meethue.com,United States,None,22971,1769565,11477,685280,11494,1084285
64.233.184.206,mqtt.2030.ltsapis.goog,United States,None,17335,971769,8559,484336,8776,487433
224.0.0.22,igmp.mcast.net.,None,None,4244,229176,0,0,4244,229176
"52.48.41.28,46.51.188.91,99.80.116.23",diag.meethue.com,Ireland,US;NL;US;US,4435,1038884,2096,495943,2339,542941
192.168.123.1,None,None,None,996,149021,640,121061,356,27960
120.25.115.20,None,China,None,204,18360,66,5940,138,12420
203.107.6.88,None,China,None,177,15930,76,6840,101,9090
216.239.35.4,time2.google.com.,United States,None,164,14760,82,7380,82,7380
216.239.35.12,time4.google.com.,United States,None,164,14760,82,7380,82,7380
216.239.35.8,time3.google.com.,United States,None,164,14760,82,7380,82,7380
216.239.35.0,time1.google.com.,United States,None,164,14760,82,7380,82,7380
"3.251.22.95,54.216.117.174,52.211.152.148",data.meethue.com,Ireland,US;NL;US;US,223,125695,100,27576,123,98119
