File, Layer,Classification,Notes, Proto, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes,LanPackets,LanBytes,LanTxPackets,LanTxBytes,LanRxPackets,LanRxBytes,WanPackets,WanBytes,WanTxPackets,WanTxBytes,WanRxPackets,WanRxBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Total,,,Total,17191719,7712688653,10928490,3083119720,6263229,4629568933,8758270,2107762602,6062481,1793086898,2695789,314675704,8433449,5604926051,4866009,1290032822,3567440,4314893229,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 3,,,ip,10522578,2699747027,6977382,2078767849,3545196,620979178,8641939,2078300400,5946150,1763624696,2695789,314675704,1880639,621446627,1031232,315143153,849407,306303474,PhilipsBridge,DLink,EchoDot3,EchoShow5,GoogleHome,MaxcioSmartStrip,NestCamera,NestMini,NestThermostat,SonyTV,TPLink,TPLinkLight,DreamGlassAir,AmazonLight,EchoDot5,Govee,Litokam,Netvue,PhillipsBridge,TPLink,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,Roborock
Overall,Layer 3,,,ipv6,6669141,5012941626,3951108,1004351871,2718033,4008589755,116331,29462202,116331,29462202,0,0,6552810,4983479424,3834777,974889669,2718033,4008589755,EchoDot3,EchoShow5,GoogleHome,NestMini,SonyTV,DreamGlassAir,EchoDot5,PhillipsBridge,MetaquestPro,HoloLens2,MetaQuest1,MetaQuest2,,,,,,,,,,,,,,
Overall,Layer 4,,,tcp,10340842,5967562290,5819108,1470728009,4521734,4496834281,1921212,365162268,960638,182646953,960574,182515315,8419630,5602400022,4858470,1288081056,3561160,4314318966,PhilipsBridge,DLink,EchoDot3,EchoShow5,GoogleHome,MaxcioSmartStrip,NestCamera,NestMini,NestThermostat,SonyTV,TPLink,TPLinkLight,DreamGlassAir,AmazonLight,EchoDot5,Govee,Litokam,Netvue,PhillipsBridge,TPLink,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,Roborock
Overall,Layer 4,,,udp,6850877,1745126363,5109382,1612391711,1741495,132734652,6837058,1742600334,5101843,1610439945,1735215,132160389,13819,2526029,7539,1951766,6280,574263,PhilipsBridge,DLink,EchoDot3,EchoShow5,GoogleHome,MaxcioSmartStrip,NestCamera,NestMini,NestThermostat,SonyTV,TPLink,TPLinkLight,DreamGlassAir,AmazonLight,EchoDot5,Govee,Litokam,Netvue,PhillipsBridge,TPLink,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,Roborock
Overall,Layer 5,,,tls,1901570,1531169312,802373,351989902,1099197,1179179410,399602,108698316,199801,54349158,199801,54349158,1501968,1422470996,602572,297640744,899396,1124830252,PhilipsBridge,DLink,EchoDot3,EchoShow5,GoogleHome,MaxcioSmartStrip,NestCamera,NestMini,NestThermostat,SonyTV,TPLink,TPLinkLight,DreamGlassAir,AmazonLight,EchoDot5,Govee,Litokam,Netvue,PhillipsBridge,TPLink,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,Roborock
Overall,Layer 7,Unencrypted App,,http,1174799,247069007,594117,122031548,580682,125037459,1060004,223597874,530034,111863502,529970,111734372,114795,23471133,64083,10168046,50712,13303087,PhilipsBridge,DLink,EchoDot3,EchoShow5,GoogleHome,NestCamera,NestMini,NestThermostat,SonyTV,DreamGlassAir,EchoDot5,Govee,Netvue,PhillipsBridge,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,,,,,,,
Overall,Layer 7,Discovery,,ssdp,2671664,1022529378,2605766,1000255854,65898,22273524,2671664,1022529378,2605766,1000255854,65898,22273524,0,0,0,0,0,0,PhilipsBridge,EchoDot3,EchoShow5,SonyTV,DreamGlassAir,EchoDot5,Netvue,PhillipsBridge,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Management,,ntp,11992,1118780,6129,571550,5863,547230,0,0,0,0,0,0,11992,1118780,6129,571550,5863,547230,PhilipsBridge,EchoDot3,EchoShow5,GoogleHome,NestCamera,NestMini,NestThermostat,SonyTV,TPLink,TPLinkLight,DreamGlassAir,AmazonLight,EchoDot5,Govee,PhillipsBridge,TPLink,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,,,,,
Overall,Layer 7,Encrypted App,,https,7976847,5548594304,4602524,1260884320,3374323,4287709984,0,0,0,0,0,0,7976847,5548594304,4602524,1260884320,3374323,4287709984,PhilipsBridge,DLink,EchoDot3,EchoShow5,GoogleHome,MaxcioSmartStrip,NestCamera,NestMini,NestThermostat,SonyTV,TPLink,TPLinkLight,DreamGlassAir,AmazonLight,EchoDot5,Litokam,Netvue,PhillipsBridge,TPLink,MetaquestPro,HoloLens2,MagicLeap,MetaQuest1,MetaQuest2,Roborock,
