IP,Hostnames,Aggregated Hostname,Type,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
2620:0:5301:2210:1924:3c34:ea6a:f56c,None,None,Local,None,None,102,17005,52,8402,50,8603
2620:0:5301:2210:2d99:29f5:cf54:f80a,None,None,Local,None,None,80,19148,43,4834,37,14314
2620:0:5301:2210:69e1:e8d2:3c:bfa0,None,None,Local,None,None,203,47267,105,14231,98,33036
2620:0:5301:2210:6cb5:bdb0:c65e:35,None,None,Local,None,None,210,48345,110,14719,100,33626
2620:0:5301:2210:89cc:3741:ab0a:2b6d,None,None,Local,None,None,198,46834,104,14117,94,32717
2620:0:5301:2210:d080:3066:5dde:4719,None,None,Local,None,None,258,44859,148,18482,110,26377
2620:0:5301:2210:f479:acce:149a:81cd,None,None,Local,None,None,181,41712,94,13212,87,28500
2620:0:5301:2210:fc21:15f6:9002:38ea,None,None,Local,None,None,176,39934,92,13030,84,26904
192.168.1.255,None,None,Local Broadcast,None,None,150348,195753096,0,0,150348,195753096
224.0.0.251,mdns.mcast.net.,mdns.mcast.net,Local Multicast (mDNS),None,None,150348,195753096,0,0,150348,195753096
239.255.255.250,None,None,Local Multicast (SSDP),None,None,2418227,937062940,0,0,2418227,937062940
2a03:2880:f003:c07:face:b00c:0:2;2a03:2880:f012:100:face:b00c:0:2,edge-star6-shv-01-iad3.facebook.com.;edge-star6-shv-02-lga3.facebook.com.,*.facebook.com,Third Party,United States,None,152,50353,56,35689,96,14664
1.14.243.105;1.14.243.65;114.80.179.242;101.226.28.239;61.170.80.210;61.170.79.234;61.170.77.224;61.170.81.237;101.226.28.234;180.163.207.102;61.170.77.225;101.226.28.240;101.226.28.236;61.170.79.233;180.163.207.105;101.226.28.235;114.80.179.245;61.170.77.229;114.80.179.249;61.170.79.236;61.170.79.231;61.170.81.235;114.80.179.246;101.226.28.241;47.113.57.36;47.113.57.59;47.107.217.159;47.113.66.37;1.14.243.123;1.14.243.73;1.14.243.233,gslb.hpplay.cn;imdns.hpplay.cn;rp.hpplay.cn;sdkauth.hpplay.cn,*.hpplay.cn,Third-Party,China,None,2433,305501,1159,130957,1274,174544
240e:97c:2f:1::9f,None,None,Third-Party,China,None,36,11347,16,2317,20,9030
240e:97c:2f:2::4a,None,None,Third-Party,China,None,90,28464,40,5790,50,22674
1.12.244.239,None,None,Third-Party (Tencent),China,None,758,63862,256,23130,502,40732
1.12.251.126,None,None,Third-Party (Tencent),China,None,253,21347,86,7735,167,13612
1.12.63.98,None,None,Third-Party (Tencent),China,None,134,11348,45,4054,89,7294
1.14.240.120,None,None,Third-Party (Tencent),China,None,534,45063,179,16223,355,28840
114.132.167.252,None,None,Third-Party (Tencent),China,None,758,63862,256,23130,502,40732
119.29.217.205,None,None,Third-Party (Tencent),China,None,755,63664,253,22932,502,40732
119.29.218.136,None,None,Third-Party (Tencent),China,None,512,43171,172,15561,340,27610
119.91.249.55,None,None,Third-Party (Tencent),China,None,131,11040,45,4004,86,7036
123.207.63.97,None,None,Third-Party (Tencent),China,None,524,44238,175,15884,349,28354
159.75.151.232,None,None,Third-Party (Tencent),China,None,756,63730,254,22998,502,40732
159.75.156.212,None,None,Third-Party (Tencent),China,None,504,42532,167,15156,337,27376
159.75.162.153,None,None,Third-Party (Tencent),China,None,757,63796,255,23064,502,40732
159.75.162.175,None,None,Third-Party (Tencent),China,None,754,63598,252,22866,502,40732
159.75.184.30,None,None,Third-Party (Tencent),China,None,26,2240,9,778,17,1462
159.75.187.238,None,None,Third-Party (Tencent),China,None,112,9432,38,3392,74,6040
42.193.239.33,None,None,Third-Party (Tencent),China,None,515,43479,173,15677,342,27802
42.193.243.76,None,None,Third-Party (Tencent),China,None,229,19323,77,6941,152,12382
42.193.244.238,None,None,Third-Party (Tencent),China,None,755,63664,253,22932,502,40732
42.194.224.152,None,None,Third-Party (Tencent),China,None,759,63928,257,23196,502,40732
42.194.229.237,None,None,Third-Party (Tencent),China,None,271,22865,91,8215,180,14650
42.194.238.150,None,None,Third-Party (Tencent),China,None,101,8565,34,3053,67,5512
42.194.238.51,None,None,Third-Party (Tencent),China,None,442,37202,148,13418,294,23784
43.138.145.210,None,None,Third-Party (Tencent),China,None,1060,89406,357,32214,703,57192
43.138.152.163,None,None,Third-Party (Tencent),China,None,211,17805,71,6395,140,11410
