IP, Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
52.17.90.193,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,17675,18316214,6671,460047,11004,17856167
108.128.237.136,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,15305,15512480,5679,388193,9626,15124287
52.50.138.222,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,14916,15737264,5462,373819,9454,15363445
54.75.216.227,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,11948,12540991,4561,314276,7387,12226715
52.51.223.120,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,11704,12260591,4411,304292,7293,11956299
34.247.193.243,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,10867,11082583,4106,277740,6761,10804843
63.33.29.77,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,9379,9777831,3581,243102,5798,9534729
99.81.252.178,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,7040,3212632,2480,425615,4560,2787017
52.210.1.214,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,5737,5725358,2150,148519,3587,5576839
54.216.215.110,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,5721,5879298,2152,148615,3569,5730683
54.229.69.45,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,5702,5888376,2204,152047,3498,5736329
54.77.239.235,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,4908,898466,1703,368595,3205,529871
99.80.0.240,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,3301,606368,1119,243951,2182,362417
192.168.231.1,None,None,None,2148,383402,1073,288870,1075,94532
52.212.170.9,*.auto.mydlink.com,Ireland,None,214,128673,88,6522,126,122151
224.0.0.251,mdns.mcast.net,None,None,184,33504,0,0,184,33504
52.215.192.18,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,107,29802,40,15409,67,14393
34.254.122.144,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,78,35601,34,21226,44,14375
54.194.135.95,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,58,24051,24,19167,34,4884
54.220.151.155,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,48,19185,20,11109,28,8076
52.19.172.170,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,43,22798,21,15739,22,7059
192.168.1.100,None,None,None,36,2412,0,0,36,2412
52.51.81.227,*.auto.mydlink.com,Ireland,BE;TW;BE;BE;BE;BE,27,15184,13,9600,14,5584
52.222.161.73,*.auto.mydlink.com,United States,None,10,2002,4,1514,6,488
18.200.177.60,*.auto.mydlink.com,Ireland,None,3,202,1,74,2,128
