SourceDevice,TargetDevice,PacketsToTargetPct,BytesToTargetPct,TxPacketsToTargetPct,TxBytesToTargetPct,RxPacketsToTargetPct,RxBytesToTargetPct
Roborock S7 (US2),Broadcast,1,1,0,0,1,1
HoloLens 2 (US2),Multicast,1,1,0,0,1,1
DreamGlass Air (US1),Multicast,0.055305522,0.147333973,0,0,0.055309777,0.147335832
DreamGlass Air (US1),Echo Dot 5 (US1),0.000211567,0.000130196,1,1,0.000134644,0.000117582
DreamGlass Air (US1),Broadcast,0.944482911,0.852535831,0,0,0.944555579,0.852546587
Nest Mini (US1),Multicast,0.837101074,0.91798154,0,0,0.837101074,0.91798154
Nest Mini (US1),Broadcast,0.162898926,0.08201846,0,0,0.162898926,0.08201846
TP-Link Plug (US1),Echo Dot 5 (US1),1,1,0,0,1,1
Hue Bridge (US1),Netvue Camera (US1),0.000719574,0.000520174,0.01119403,0.011196685,0.00049022,0.000463486
Hue Bridge (US1),Multicast,0.275372979,0.27373654,0,0,0.281402683,0.275189985
Hue Bridge (US1),Echo Dot 5 (US1),0.057917713,0.034692759,0.98880597,0.988803315,0.03753452,0.029626767
Hue Bridge (US1),Broadcast,0.665989734,0.691050527,0,0,0.680572577,0.694719763
Netvue Camera (US1),Hue Bridge (US1),0.947368421,0.96092215,1,1,0.857142857,0.736532234
Netvue Camera (US1),Broadcast,0.052631579,0.03907785,0,0,0.142857143,0.263467766
Litokam Camera (US1),Hue Bridge (US1),0.923076923,0.972794118,0.875,0.934628975,1,1
Litokam Camera (US1),Echo Dot 5 (US1),0.076923077,0.027205882,0.125,0.065371025,0,0
Echo Dot 5 (US1),TP-Link Plug (US1),0.015408774,0.054208332,0.032948583,0.074891527,0,0
Echo Dot 5 (US1),Multicast,0.191873589,0.108774233,0,0,0.360435103,0.393859284
Echo Dot 5 (US1),Hue Bridge (US1),0.711060948,0.784560604,0.964113326,0.920697182,0.488753687,0.427761919
Echo Dot 5 (US1),DreamGlass Air (US1),0.002159191,0.003535605,0.00293809,0.004411291,0.001474926,0.001240529
Echo Dot 5 (US1),Broadcast,0.079497497,0.048921226,0,0,0.149336283,0.177138268
Hue Bridge (FR),Nest Mini (FR),0.087860541,0.090891518,0.146991114,0.137382522,0.05698694,0.085514563
Hue Bridge (FR),Multicast,0.153791483,0.155830785,0,0,0.234089994,0.173853523
Hue Bridge (FR),Google Speaker (FR),0.306876197,0.374313781,0.43849855,0.487103355,0.238152763,0.36126901
Hue Bridge (FR),Echo Show 5 (FR),0.148820406,0.100509405,0.207410562,0.187889155,0.118228969,0.090403428
Hue Bridge (FR),Echo Dot 3 (FR),0.148615087,0.100382438,0.207099774,0.187624968,0.118078719,0.090292331
Hue Bridge (FR),Broadcast,0.154036286,0.178072073,0,0,0.234462615,0.198667145
D-Link Camera (FR),Multicast,1,1,0,0,1,1
TP-Link Plug (FR),Nest Mini (FR),0.204055865,0.227551992,0.206663924,0.165589484,0.202866469,0.230348767
TP-Link Light (FR),Nest Mini (FR),0.166329996,0.231243321,0.166301505,0.131580988,0.166343042,0.23461048
TP-Link Plug (FR),Google Speaker (FR),0.206606885,0.228288815,0.213821473,0.17132447,0.2033167,0.23085999
TP-Link Light (FR),Google Speaker (FR),0.169237941,0.233091074,0.172874408,0.136781596,0.167572816,0.236344954
TP-Link Plug (FR),Echo Show 5 (FR),0.293393115,0.271365225,0.287782805,0.329283786,0.295951675,0.26875098
TP-Link Light (FR),Echo Show 5 (FR),0.332549002,0.267595406,0.330694749,0.366114197,0.333398058,0.264266883
TP-Link Plug (FR),Echo Dot 3 (FR),0.295944135,0.272793968,0.291731798,0.33380226,0.297865156,0.270040264
TP-Link Light (FR),Echo Dot 3 (FR),0.331883061,0.268070199,0.330129338,0.365523219,0.332686084,0.264777684
Sony TV (FR),Multicast,0.78509178,0.755646915,0,0,0.801380138,0.759585535
Sony TV (FR),Echo Show 5 (FR),0.04286995,0.049360277,0.499638467,0.499656624,0.033393339,0.04701322
Sony TV (FR),Echo Dot 3 (FR),0.042237997,0.048560064,0.500361533,0.500343376,0.032733273,0.046205257
Sony TV (FR),Broadcast,0.129800273,0.146432743,0,0,0.132493249,0.147195987
Nest Mini (FR),TP-Link Plug (FR),0.007313663,0.032933911,0.011002204,0.068346403,0.004248116,0.00194088
Nest Mini (FR),TP-Link Light (FR),0.006920227,0.052134747,0.01045891,0.109626393,0.003979226,0.001818029
Nest Mini (FR),Multicast,0.078699223,0.186989821,0,0,0.144106162,0.350643409
Nest Mini (FR),Hue Bridge (FR),0.020551032,0.06582321,0.019294044,0.118933908,0.021595715,0.019340699
Nest Mini (FR),Google Speaker (FR),0.87392036,0.65208626,0.959244842,0.703093296,0.803007165,0.607444877
Nest Mini (FR),Broadcast,0.012595496,0.01003205,0,0,0.023063615,0.018812106
Google Speaker (FR),TP-Link Plug (FR),0.007044679,0.027525171,0.01029502,0.049684365,0.004248169,0.001922846
Google Speaker (FR),TP-Link Light (FR),0.006698507,0.043779062,0.009837168,0.080104213,0.003998084,0.00180965
Google Speaker (FR),Nest Mini (FR),0.833713771,0.545972872,0.904586309,0.505761698,0.772736857,0.592432123
Google Speaker (FR),Multicast,0.069699094,0.146554898,0,0,0.129666407,0.315881732
Google Speaker (FR),Hue Bridge (FR),0.068286293,0.225826159,0.075281503,0.364449724,0.062267793,0.065663041
Google Speaker (FR),Broadcast,0.014557656,0.010341838,0,0,0.02708269,0.022290608
Echo Show 5 (FR),TP-Link Plug (FR),0.00698507,0.028796997,0.009899772,0.058575799,0.004197959,0.002825274
Echo Show 5 (FR),TP-Link Light (FR),0.009190527,0.044235106,0.012929444,0.090708682,0.005615281,0.003702957
Echo Show 5 (FR),Sony TV (FR),0.001789518,0.00742358,0.002793724,0.015098931,0.000829271,0.000729485
Echo Show 5 (FR),Multicast,0.004383307,0.005180527,0,0,0.008574734,0.009698748
Echo Show 5 (FR),Hue Bridge (FR),0.023122632,0.053369452,0.024689189,0.092361059,0.021624651,0.019362738
Echo Show 5 (FR),Echo Dot 3 (FR),0.948030365,0.845812999,0.949687871,0.743255529,0.946445416,0.935258983
Echo Show 5 (FR),Broadcast,0.006498582,0.015181338,0,0,0.012712688,0.028421814
Echo Dot 3 (FR),TP-Link Plug (FR),0.00709074,0.02942301,0.009580239,0.044280464,0.004482746,0.004195067
Echo Dot 3 (FR),TP-Link Light (FR),0.009230619,0.045039782,0.012405196,0.068375886,0.005904937,0.0054151
Echo Dot 3 (FR),Sony TV (FR),0.001774383,0.007422913,0.002633087,0.01116434,0.000874805,0.001069972
Echo Dot 3 (FR),Multicast,0.000739018,0.000970926,0,0,0.001513211,0.002619556
Echo Dot 3 (FR),Hue Bridge (FR),0.023237996,0.054175522,0.023708647,0.069401738,0.022744942,0.028321422
Echo Dot 3 (FR),Echo Show 5 (FR),0.954076574,0.859673768,0.951672831,0.806777572,0.956594731,0.949491457
Echo Dot 3 (FR),Broadcast,0.00385067,0.00329408,0,0,0.007884627,0.008887425
